outcome,label,beta,se,p,sort_idx,r2,ar2,bp_p
hicp_yoy,Pre_Tail,-0.122259753475101,0.541326690695501,0.821316477437053,-999,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-12,5.08332588033156,0.0463379333534814,0,-12,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-11,4.72583467706914,0.0421253939579398,0,-11,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-10,3.8504635613868,0.0379128545631338,0,-10,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-9,3.52611832741008,0.0337003151672291,0,-9,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-8,3.11926051263107,0.0294877757700087,0,-8,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-7,2.66716275025745,0.0252752363722801,0,-7,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-6,2.63711558827813,0.0210626969804342,0,-6,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-5,2.11537041232039,0.0168501575803489,0,-5,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-4,2.01325355242698,0.0126376181908166,0,-4,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-3,1.86291283229888,0.00842507879042736,0,-3,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-2,0.480426007725968,0.00421253942099633,0,-2,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,-1,0,0,1,-1,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,0,-1.0492151828695,0.00421253939401205,0,0,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,1,-0.853759562482321,0.00842507879716784,0,1,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,2,0.154207746705538,0.0126376181908089,3.02243323797912e-34,2,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,3,-0.000866677823628408,0.0168501575786685,0.958979370083496,3,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,4,0.077353555496774,0.0210626969750471,0.000240153405123558,4,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,5,0.18851364536099,0.025275236375663,8.75578307692405e-14,5,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,6,-0.590986585018265,0.0294877757680915,2.38249714018062e-89,6,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,7,-0.352734071336712,0.0337003151638592,1.22736484865865e-25,7,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,8,-0.263767927915286,0.0379128545618264,3.47062017073448e-12,8,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,9,-0.320544026900818,0.0421253939559626,2.7562151918631e-14,9,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,10,0.157584525430447,0.0463379333509738,0.000671970194723847,10,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,11,0.574662792393987,0.0505504727477789,6.028608040319e-30,11,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,12,0.45573264268864,0.0547630121423214,8.65599028884984e-17,12,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,13,0.517596404254381,0.0589755515398899,1.68704924413821e-18,13,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,14,0.0969316438012043,0.0631880909354213,0.125025322242273,14,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,15,0.154330883727536,0.0674006303288508,0.0220355631942387,15,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,16,0.248285812422364,0.071613169725709,0.000526221157530357,16,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,17,0.14735614871252,0.0758257091197982,0.0519734750341707,17,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,18,0.647392942258875,0.0800382485165533,6.03818807775147e-16,18,0.450119126927077,0.356582689754879,0.475177984185901
hicp_yoy,Post_Tail,-0.734093854230748,0.414800508378005,0.0767685335553562,999,0.450119126927077,0.356582689754879,0.475177984185901
unemp_rate,Pre_Tail,-2.23826495261995,0.438576714122617,3.33473964466206e-07,-999,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-12,-1.1509999383705,0.0239821383877987,0,-12,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-11,-1.18272721670044,0.0218019439913791,0,-11,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-10,-1.11445449503046,0.0196217495919803,0,-10,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-9,-1.34618177336035,0.017441555191217,0,-9,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-8,-1.57790905169035,0.0152613607951188,0,-8,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-7,-0.809636330020277,0.0130811663934378,0,-7,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-6,-0.641363608350227,0.0109009719932515,0,-6,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-5,-0.473090886680197,0.00872077759894143,0,-5,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-4,-0.00481816501009961,0.00654058319899725,0.461331091429732,-4,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-3,-0.136545443340112,0.00436038879799677,2.9189523462504e-215,-3,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-2,-0.168272721670059,0.00218019439932218,0,-2,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,-1,0,0,1,-1,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,0,-0.331727278329933,0.0021801944189135,0,0,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,1,-0.463454556659927,0.00436038879151838,0,1,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,2,-0.695181834989861,0.0065405831968581,0,2,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,3,-0.726909113319839,0.00872077759571591,0,3,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,4,-0.858636391649733,0.0109009719945879,0,4,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,5,-1.39036366997972,0.0130811663923947,0,5,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,6,-1.22209094830967,0.0152613607932882,0,6,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,7,-1.15381822663964,0.0174415551896201,0,7,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,8,-1.68554550496958,0.0196217495901417,0,8,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,9,-2.01727278329952,0.0218019439896813,0,9,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,10,-2.44900006162948,0.0239821383885157,0,10,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,11,-2.88072733995939,0.0261623327879003,0,11,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,12,-3.01245461828937,0.0283425271877075,0,12,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,13,-3.14418189661931,0.030522721586001,0,13,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,14,-3.47590917494928,0.0327029159835066,0,14,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,15,-3.60763645327921,0.0348831103819945,0,15,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,16,-3.53936373160915,0.0370633047820534,0,16,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,17,-3.67109100993914,0.0392434991798314,0,17,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,18,-3.30281828826913,0.041423693579086,0,18,0.825207741138322,0.797207039476015,3.9356653847456e-10
unemp_rate,Post_Tail,-4.1839079572189,0.250691708362112,1.56392176406827e-62,999,0.825207741138322,0.797207039476015,3.9356653847456e-10
hicp,Pre_Tail,1.76459028999473,0.622455005383104,0.00458417389081269,-999,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-12,2.67434487858986,0.0831404309699471,5.17632891875955e-227,-12,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-11,2.46122261689992,0.0755822099740388,1.34780985622192e-232,-11,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-10,1.94810035520992,0.0680239889779004,2.23374175756723e-180,-10,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-9,2.02497809351993,0.0604657679811141,6.81622724335374e-246,-9,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-8,1.93185583182993,0.0529075469831311,6.69696191777365e-292,-8,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-7,1.75873357013993,0.0453493259910198,0,-7,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-6,2.11561130844995,0.0377911049977787,0,-6,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-5,1.92248904675996,0.0302328840044242,0,-5,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-4,1.31936678506996,0.0226746630158867,0,-4,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-3,1.05624452337994,0.0151164420242917,0,-3,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-2,0.293122261689946,0.00755822105065212,0,-2,0.710159738542913,0.66372901704736,0.364466030890144
hicp,-1,0,0,1,-1,0.710159738542913,0.66372901704736,0.364466030890144
hicp,0,0.926877738309986,0.00755822104310138,0,0,0.710159738542913,0.66372901704736,0.364466030890144
hicp,1,0.893755476619971,0.0151164420280056,0,1,0.710159738542913,0.66372901704736,0.364466030890144
hicp,2,1.29063321493,0.0226746630108205,0,2,0.710159738542913,0.66372901704736,0.364466030890144
hicp,3,1.23751095324,0.0302328840006321,0,3,0.710159738542913,0.66372901704736,0.364466030890144
hicp,4,1.22438869155003,0.0377911049947102,2.84813994087493e-230,4,0.710159738542913,0.66372901704736,0.364466030890144
hicp,5,1.16126642986003,0.0453493259897118,1.27039019102775e-144,5,0.710159738542913,0.66372901704736,0.364466030890144
hicp,6,0.81814416817002,0.0529075469852329,6.10327505658726e-54,6,0.710159738542913,0.66372901704736,0.364466030890144
hicp,7,0.855021906480021,0.0604657679829578,2.13473303866633e-45,7,0.710159738542913,0.66372901704736,0.364466030890144
hicp,8,0.341899644790042,0.0680239889779552,5.00391066310641e-07,8,0.710159738542913,0.66372901704736,0.364466030890144
hicp,9,0.0387773831000674,0.0755822099725517,0.607916990961776,9,0.710159738542913,0.66372901704736,0.364466030890144
hicp,10,-0.274344878589931,0.0831404309716554,0.000967616970123035,10,0.710159738542913,0.66372901704736,0.364466030890144
hicp,11,-0.177467140279912,0.090698651965993,0.0503865270309103,11,0.710159738542913,0.66372901704736,0.364466030890144
hicp,12,0.659410598030095,0.0982568729618787,1.93177519364379e-11,12,0.710159738542913,0.66372901704736,0.364466030890144
hicp,13,0.696288336340099,0.105815093959486,4.69700762424498e-11,13,0.710159738542913,0.66372901704736,0.364466030890144
hicp,14,0.723166074650067,0.113373314957001,1.78682771465824e-10,14,0.710159738542913,0.66372901704736,0.364466030890144
hicp,15,0.740043812960102,0.120931535951608,9.38534614897872e-10,15,0.710159738542913,0.66372901704736,0.364466030890144
hicp,16,0.826921551270102,0.128489756949118,1.22905433212589e-10,16,0.710159738542913,0.66372901704736,0.364466030890144
hicp,17,0.683799289580084,0.136047977944876,5.00391065247503e-07,17,0.710159738542913,0.66372901704736,0.364466030890144
hicp,18,0.810677027890101,0.143606198941522,1.6504735433259e-08,18,0.710159738542913,0.66372901704736,0.364466030890144
hicp,Post_Tail,-2.8175677839061,0.670609976653259,2.65152305037079e-05,999,0.710159738542913,0.66372901704736,0.364466030890144
imports_world_meur,Pre_Tail,997.862833732983,130.02877942754,1.66494398950309e-14,-999,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-12,1031.44476303461,35.7320912507516,3.18562517082427e-183,-12,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-11,1017.62251184966,32.4837193199549,1.99208154480731e-215,-11,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-10,947.70026066469,29.2353473874016,1.62030668877388e-230,-10,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-9,933.878009479728,25.9869754546323,8.25903613699537e-283,-9,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-8,888.855758294758,22.7386035230618,0,-8,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-7,774.533507109784,19.4902315899669,0,-7,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-6,605.811255924823,16.2418596582958,1.67967281212682e-304,-6,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-5,506.289004739854,12.9934877267698,0,-5,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-4,458.666753554892,9.74511579552542,0,-4,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-3,746.544502369912,6.49674386039183,0,-3,0.915206546157895,0.90162312879484,0.330193059746558
imports_world_meur,-2,479.122251184945,3.24837192835249,0,-2,0.915206546157895,0.90162312879484,0.330193059746558
