outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-98.2044983994944,36.0313442029623,0.00641984022935021,240,0.950183759623473,0.948458521861516
exports_world_meur,bint0,0,198.76234628859,15.6252195631694,4.54291497702434e-37,240,0.950183759623473,0.948458521861516
exports_world_meur,binpost1_6,3,116.774692577182,32.0935477097445,0.000274153703289836,240,0.950183759623473,0.948458521861516
exports_world_meur,binpost7_12,9,-792.704142356661,201.651695881669,8.45735097563046e-05,240,0.950183759623473,0.948458521861516
exports_world_meur,binpost13_18,15,-1487.31631062384,63.9305510726533,1.0132131796924e-119,240,0.950183759623473,0.948458521861516
exports_world_meur,binPre_Tail,,105.879757202277,74.5602769705674,0.155591423306589,240,0.950183759623473,0.948458521861516
exports_world_meur,binPost_Tail,,-1489.9499240132,202.065602503003,1.66087188759624e-13,240,0.950183759623473,0.948458521861516
hicp,binpre12_7,-10,-0.849728432175193,0.190815703116045,8.46247936686929e-06,240,0.66950578283525,0.658060095660713
hicp,bint0,0,1.98650825210224,0.0559883067872319,9.73162061290629e-276,240,0.66950578283525,0.658060095660713
hicp,binpost1_6,3,1.37468317087112,0.0939235017719172,1.65037557025041e-48,240,0.66950578283525,0.658060095660713
hicp,binpost7_12,9,0.292744936379668,0.282845445978428,0.300669076652132,240,0.66950578283525,0.658060095660713
hicp,binpost13_18,15,0.515806701888221,0.150164214965622,0.000592661250532512,240,0.66950578283525,0.658060095660713
hicp,binPre_Tail,,1.36788872187819,0.609994586448611,0.0249316300528264,240,0.66950578283525,0.658060095660713
hicp,binPost_Tail,,-2.60263724841528,0.760766881478562,0.000623751267428663,240,0.66950578283525,0.658060095660713
hicp_yoy,binpre12_7,-10,-1.60795697035566,0.559629853915189,0.00406271349734494,228,0.534517911768803,0.517513999869947
hicp_yoy,bint0,0,2.7661627596382,0.322189702109596,9.04347025219766e-18,228,0.534517911768803,0.517513999869947
hicp_yoy,binpost1_6,3,1.11410721938778,0.379391417921086,0.00331870221028065,228,0.534517911768803,0.517513999869947
hicp_yoy,binpost7_12,9,-1.3854750445278,0.667183064907726,0.0378381202070182,228,0.534517911768803,0.517513999869947
hicp_yoy,binpost13_18,15,-2.44257025919904,0.342865510280328,1.04847114453153e-12,228,0.534517911768803,0.517513999869947
hicp_yoy,binPre_Tail,,-3.33863310680014,0.426008019316564,4.6136683732344e-15,228,0.534517911768803,0.517513999869947
hicp_yoy,binPost_Tail,,-2.68008019279439,0.497053407789818,6.97025723335888e-08,228,0.534517911768803,0.517513999869947
imports_world_meur,binpre12_7,-10,-27.3593907924169,65.7085517143668,0.677135701901038,240,0.911706733391384,0.908648957924419
imports_world_meur,bint0,0,194.667977962242,37.314248649367,1.8185628545184e-07,240,0.911706733391384,0.908648957924419
imports_world_meur,binpost1_6,3,27.7692892578168,83.5569087121232,0.739632663603313,240,0.911706733391384,0.908648957924419
imports_world_meur,binpost7_12,9,-576.504653283102,205.440754741951,0.00501319851750731,240,0.911706733391384,0.908648957924419
imports_world_meur,binpost13_18,15,-1441.89526249069,63.6790792079339,1.62952860450235e-113,240,0.911706733391384,0.908648957924419
imports_world_meur,binPre_Tail,,189.97996365634,102.80894858383,0.0646177850589891,240,0.911706733391384,0.908648957924419
imports_world_meur,binPost_Tail,,-1597.17245195663,255.594196299035,4.13458245773373e-10,240,0.911706733391384,0.908648957924419
log_exp,binpre12_7,-10,0.000420549332349471,0.00835761482982695,0.959867943651521,240,0.638991989787816,0.626489547875706
log_exp,bint0,0,-0.0124973512966853,0.00642131945068374,0.0516273656878299,240,0.638991989787816,0.626489547875706
log_exp,binpost1_6,3,-0.0162757824883572,0.00754551135503768,0.0310044821567971,240,0.638991989787816,0.626489547875706
log_exp,binpost7_12,9,-0.0548187760387066,0.00944904426802038,6.5718251315882e-09,240,0.638991989787816,0.626489547875706
log_exp,binpost13_18,15,-0.0421501184883503,0.0146362960563144,0.00397883270411499,240,0.638991989787816,0.626489547875706
log_exp,binPre_Tail,,0.151149751879149,0.0225436993332022,2.01758594633839e-11,240,0.638991989787816,0.626489547875706
log_exp,binPost_Tail,,-0.0869441666244986,0.0154752227804607,1.92865461913071e-08,240,0.638991989787816,0.626489547875706
log_imp,binpre12_7,-10,0.0104129503919851,0.0165718486752626,0.529773526782204,240,0.59244725523784,0.578332874466856
log_imp,bint0,0,-0.00958776689085581,0.0098128730310437,0.328539390149875,240,0.59244725523784,0.578332874466856
log_imp,binpost1_6,3,-0.0283103275148834,0.0146346512593671,0.0530550843240915,240,0.59244725523784,0.578332874466856
log_imp,binpost7_12,9,-0.040369536520936,0.014461702219659,0.00524677793215114,240,0.59244725523784,0.578332874466856
log_imp,binpost13_18,15,-0.0418067861558126,0.0118867466649255,0.000436301900237321,240,0.59244725523784,0.578332874466856
log_imp,binPre_Tail,,0.140585389379852,0.0250766922460886,2.06796139793907e-08,240,0.59244725523784,0.578332874466856
log_imp,binPost_Tail,,-0.0788529583655626,0.01737791452264,5.69146086223657e-06,240,0.59244725523784,0.578332874466856
unemp_rate,binpre12_7,-10,0.517258451041402,0.136741518659321,0.00015510759024058,240,0.826643250146115,0.820639553181479
unemp_rate,bint0,0,0.169099236892468,0.147232461353251,0.250754492801378,240,0.826643250146115,0.820639553181479
unemp_rate,binpost1_6,3,0.221531807118301,0.190425145698008,0.244686006652665,240,0.826643250146115,0.820639553181479
unemp_rate,binpost7_12,9,1.17094002274354,0.154343591951017,3.28459341236596e-14,240,0.826643250146115,0.820639553181479
unemp_rate,binpost13_18,15,0.487014905035439,0.204545756708108,0.0172676693187966,240,0.826643250146115,0.820639553181479
unemp_rate,binPre_Tail,,-1.43622585920246,0.495844685209341,0.00377322196448736,240,0.826643250146115,0.820639553181479
unemp_rate,binPost_Tail,,-2.36543810719964,0.31054256674632,2.59410383240264e-14,240,0.826643250146115,0.820639553181479
