outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,557.906756274156,151.251296631739,0.000225484231569717,240,0.957620135787145,0.955961793274468
exports_world_meur,bint0,0,-1014.01939743584,146.327390382074,4.21439106805551e-12,240,0.957620135787145,0.955961793274468
exports_world_meur,binpost1_6,3,-853.625084480912,144.048578800938,3.1049169451747e-09,240,0.957620135787145,0.955961793274468
exports_world_meur,binpost7_12,9,-741.570853983548,163.236816128893,5.54818312087312e-06,240,0.957620135787145,0.955961793274468
exports_world_meur,binpost13_18,15,-482.517962924968,182.642023469138,0.00824477227033817,240,0.957620135787145,0.955961793274468
exports_world_meur,binPre_Tail,,-80.0662654072224,240.313527602535,0.739002798021232,240,0.957620135787145,0.955961793274468
exports_world_meur,binPost_Tail,,-342.949744704049,271.297610672742,0.206190915489637,240,0.957620135787145,0.955961793274468
hicp,binpre12_7,-10,0.403454050842785,0.342463554176958,0.238759375363352,240,0.882554686591605,0.877959000414755
hicp,bint0,0,0.150877669024593,0.309090607546721,0.625454850851338,240,0.882554686591605,0.877959000414755
hicp,binpost1_6,3,0.654925647843181,0.294547561526211,0.026182298953575,240,0.882554686591605,0.877959000414755
hicp,binpost7_12,9,0.325156999750476,0.348172901839747,0.350357958127056,240,0.882554686591605,0.877959000414755
hicp,binpost13_18,15,1.32939699908087,0.375126306952817,0.000394307055409916,240,0.882554686591605,0.877959000414755
hicp,binPre_Tail,,-3.25878967568466,0.662024496210108,8.54626579719349e-07,240,0.882554686591605,0.877959000414755
hicp,binPost_Tail,,-0.118864658935462,0.563453710564453,0.832920611256012,240,0.882554686591605,0.877959000414755
hicp_yoy,binpre12_7,-10,2.44431949750597,0.792719205012042,0.00204607280464261,228,0.446034816605239,0.423164694354996
hicp_yoy,bint0,0,-2.64219163072815,0.478307527336907,3.31285213451229e-08,228,0.446034816605239,0.423164694354996
hicp_yoy,binpost1_6,3,-1.83543997436646,0.468673359017763,8.99386312185857e-05,228,0.446034816605239,0.423164694354996
hicp_yoy,binpost7_12,9,-1.73975360619503,0.544139692594071,0.00138741991789606,228,0.446034816605239,0.423164694354996
hicp_yoy,binpost13_18,15,-1.58892362842761,0.564883366692709,0.00491068627938694,228,0.446034816605239,0.423164694354996
hicp_yoy,binPre_Tail,,-0.966180571197131,0.954997687145485,0.311676802301234,228,0.446034816605239,0.423164694354996
hicp_yoy,binPost_Tail,,-3.11272911283982,0.939442409981845,0.000921758550029515,228,0.446034816605239,0.423164694354996
imports_world_meur,binpre12_7,-10,313.140767275757,76.6198198591915,4.37096151795768e-05,240,0.934805908297634,0.932254835144063
imports_world_meur,bint0,0,-1060.76551662748,62.7280392794094,3.76193719093369e-64,240,0.934805908297634,0.932254835144063
imports_world_meur,binpost1_6,3,-917.858880082676,66.3344567003405,1.52788793977664e-43,240,0.934805908297634,0.932254835144063
imports_world_meur,binpost7_12,9,-729.080954853396,101.615177307797,7.23485074776947e-13,240,0.934805908297634,0.932254835144063
imports_world_meur,binpost13_18,15,-340.109786929479,140.751543690834,0.0156755173768095,240,0.934805908297634,0.932254835144063
imports_world_meur,binPre_Tail,,-445.504222897101,250.416183697858,0.075230706555832,240,0.934805908297634,0.932254835144063
imports_world_meur,binPost_Tail,,-397.511023970194,281.263437299602,0.157566062692003,240,0.934805908297634,0.932254835144063
log_exp,binpre12_7,-10,0.0212755769703658,0.00812754478090494,0.00885213074255402,240,0.549365170290448,0.531731633475727
log_exp,bint0,0,-0.0161008509398814,0.00792237959173695,0.0421207545140663,240,0.549365170290448,0.531731633475727
log_exp,binpost1_6,3,0.0156692337423661,0.018368978055421,0.39364434662346,240,0.549365170290448,0.531731633475727
log_exp,binpost7_12,9,-0.00157214240008748,0.0131025593751906,0.904493106980523,240,0.549365170290448,0.531731633475727
log_exp,binpost13_18,15,0.00611748425045191,0.0139446371325512,0.660880385304249,240,0.549365170290448,0.531731633475727
log_exp,binPre_Tail,,0.094995922656157,0.0341463215819109,0.0054020867117762,240,0.549365170290448,0.531731633475727
log_exp,binPost_Tail,,0.0245495375595028,0.0303343858025088,0.418344139346618,240,0.549365170290448,0.531731633475727
log_imp,binpre12_7,-10,-0.00445380399500216,0.0126712036923049,0.725220618898086,240,0.609634164542458,0.594358979676728
log_imp,bint0,0,-0.0817320662042741,0.0136772737012015,2.29023951541676e-09,240,0.609634164542458,0.594358979676728
log_imp,binpost1_6,3,0.00311910287064836,0.0181860806508423,0.863822414514782,240,0.609634164542458,0.594358979676728
log_imp,binpost7_12,9,0.0114015717808339,0.0184457129632049,0.536499538332949,240,0.609634164542458,0.594358979676728
log_imp,binpost13_18,15,0.024572655700434,0.0167538247721757,0.142460592119416,240,0.609634164542458,0.594358979676728
log_imp,binPre_Tail,,0.0484730837779341,0.0277525069671565,0.0807032752412356,240,0.609634164542458,0.594358979676728
log_imp,binPost_Tail,,0.0332491718905355,0.0267844449656352,0.214472329907164,240,0.609634164542458,0.594358979676728
unemp_rate,binpre12_7,-10,-0.754856960000908,0.103810820450692,3.55604131457109e-13,240,0.868799811702252,0.863665891290601
unemp_rate,bint0,0,-0.208754201597107,0.083200629318729,0.0121057737609211,240,0.868799811702252,0.863665891290601
