outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,663.592807291221,171.002906162681,0.000104201772828901,240,0.950493495218859,0.948778984230768
exports_world_meur,bint0,0,-1073.04997091988,160.04823730623,2.02040406451598e-11,240,0.950493495218859,0.948778984230768
exports_world_meur,binpost1_6,3,-969.066608506426,154.660986119706,3.71042364552476e-10,240,0.950493495218859,0.948778984230768
exports_world_meur,binpost7_12,9,-949.226082464315,173.187061123144,4.23096925822764e-08,240,0.950493495218859,0.948778984230768
exports_world_meur,binpost13_18,15,-776.168889755536,177.469723541784,1.22254288768933e-05,240,0.950493495218859,0.948778984230768
exports_world_meur,binPre_Tail,,594.477106768397,184.463114548321,0.00126969668553487,240,0.950493495218859,0.948778984230768
exports_world_meur,binPost_Tail,,-1001.68703656665,277.126752322298,0.000300875892636547,240,0.950493495218859,0.948778984230768
hicp,binpre12_7,-10,1.01519097424006,0.473154767559437,0.0319065754075534,240,0.707104487881754,0.696960920362507
hicp,bint0,0,-0.190805846084461,0.392352961907625,0.626746166693722,240,0.707104487881754,0.696960920362507
hicp,binpost1_6,3,-0.0132783588356041,0.392426683392802,0.973007502654961,240,0.707104487881754,0.696960920362507
hicp,binpost7_12,9,-0.876802666408988,0.421028366074582,0.0372944186266942,240,0.707104487881754,0.696960920362507
hicp,binpost13_18,15,-0.370326973982383,0.415170305195909,0.372399307878265,240,0.707104487881754,0.696960920362507
hicp,binPre_Tail,,0.645633691653678,0.700535192322926,0.356722019978581,240,0.707104487881754,0.696960920362507
hicp,binPost_Tail,,-3.93179853595218,0.758489707660902,2.17502978757443e-07,240,0.707104487881754,0.696960920362507
hicp_yoy,binpre12_7,-10,2.31029244638144,0.738023750579827,0.00174582195910918,228,0.423706429755487,0.402654609837879
hicp_yoy,bint0,0,-2.5672653530414,0.455508958918516,1.74007993448303e-08,228,0.423706429755487,0.402654609837879
hicp_yoy,binpost1_6,3,-1.68884358779552,0.431351468796279,9.03151368793981e-05,228,0.423706429755487,0.402654609837879
hicp_yoy,binpost7_12,9,-1.47587617948416,0.492738303484439,0.00274216746857395,228,0.423706429755487,0.402654609837879
hicp_yoy,binpost13_18,15,-1.21549408972355,0.46511602627091,0.0089668952198776,228,0.423706429755487,0.402654609837879
hicp_yoy,binPre_Tail,,-1.64143896396042,0.68096701391811,0.0159327251574365,228,0.423706429755487,0.402654609837879
hicp_yoy,binPost_Tail,,-2.24847927059834,0.605250457862746,0.000203238457469433,228,0.423706429755487,0.402654609837879
imports_world_meur,binpre12_7,-10,466.226595100627,99.0321402005801,2.50366340690444e-06,240,0.91456440322669,0.911605594680429
imports_world_meur,bint0,0,-1146.27106936426,77.03678900172,4.4764549102781e-50,240,0.91456440322669,0.911605594680429
imports_world_meur,binpost1_6,3,-1085.07547206185,78.1909064032947,8.700786595104e-44,240,0.91456440322669,0.911605594680429
imports_world_meur,binpost7_12,9,-1029.86873382914,106.043559241549,2.68678908642596e-22,240,0.91456440322669,0.911605594680429
imports_world_meur,binpost13_18,15,-765.46199559644,113.695509946799,1.66702063017893e-11,240,0.91456440322669,0.911605594680429
imports_world_meur,binPre_Tail,,531.569189720143,138.894990559175,0.000129646035346079,240,0.91456440322669,0.911605594680429
imports_world_meur,binPost_Tail,,-1351.68939163024,291.123210175368,3.4336164076208e-06,240,0.91456440322669,0.911605594680429
log_exp,binpre12_7,-10,0.0312699296717804,0.006633315683409,2.42814451702301e-06,240,0.484517692194841,0.466665491058732
log_exp,bint0,0,-0.0216831616222158,0.00687184115205208,0.00160297864670112,240,0.484517692194841,0.466665491058732
log_exp,binpost1_6,3,0.00475234077118757,0.0160392789276649,0.767005631428736,240,0.484517692194841,0.466665491058732
log_exp,binpost7_12,9,-0.0212093563347297,0.0107406665527296,0.0483047181431126,240,0.484517692194841,0.466665491058732
log_exp,binpost13_18,15,-0.0216520359993689,0.007732186517972,0.00510634380240677,240,0.484517692194841,0.466665491058732
log_exp,binPre_Tail,,0.158785082238212,0.0279941537506527,1.41073988044567e-08,240,0.484517692194841,0.466665491058732
log_exp,binPost_Tail,,-0.0377448974117356,0.0182988397668148,0.0391417601214424,240,0.484517692194841,0.466665491058732
log_imp,binpre12_7,-10,0.00944902766867262,0.0104612508072853,0.366398152889233,240,0.473746594262249,0.455521368089513
log_imp,bint0,0,-0.0894974441161266,0.0116364170140703,1.45816845586084e-14,240,0.473746594262249,0.455521368089513
log_imp,binpost1_6,3,-0.0120670457277664,0.0149886911928507,0.420775432552614,240,0.473746594262249,0.455521368089513
log_imp,binpost7_12,9,-0.0159151427511895,0.017107501245913,0.352214738752739,240,0.473746594262249,0.455521368089513
log_imp,binpost13_18,15,-0.014056655966706,0.0128872474468547,0.275386632022298,240,0.473746594262249,0.455521368089513
log_imp,binPre_Tail,,0.137208189905524,0.0285051048529544,1.48339097649725e-06,240,0.473746594262249,0.455521368089513
log_imp,binPost_Tail,,-0.0534066695494288,0.0196211194474954,0.00649083355965746,240,0.473746594262249,0.455521368089513
unemp_rate,binpre12_7,-10,-0.959773721186528,0.111980030868417,1.02646939177624e-17,240,0.81957932091524,0.813330985708842
unemp_rate,bint0,0,-0.0942986626411987,0.101544590176645,0.353074181756819,240,0.81957932091524,0.813330985708842
unemp_rate,binpost1_6,3,-0.655263991949059,0.164626053735297,6.88232331119484e-05,240,0.81957932091524,0.813330985708842
