outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,392.07835803344,136.841207593413,0.00416736996455365,240,0.968095094086705,0.966846641246619
exports_world_meur,bint0,0,-1280.12967215607,132.529633747132,4.49377997081726e-22,240,0.968095094086705,0.966846641246619
exports_world_meur,binpost1_6,3,-1405.76275205982,238.113558635481,3.55332031123507e-09,240,0.968095094086705,0.966846641246619
exports_world_meur,binpost7_12,9,-190.501492795584,214.016896384898,0.373399515777565,240,0.968095094086705,0.966846641246619
exports_world_meur,binpost13_18,15,-410.823230676016,215.276247832722,0.0563455127720561,240,0.968095094086705,0.966846641246619
exports_world_meur,binPre_Tail,,250.983517457725,203.4166985089,0.217262790790705,240,0.968095094086705,0.966846641246619
exports_world_meur,binPost_Tail,,438.430104388072,355.766986919788,0.217817679147207,240,0.968095094086705,0.966846641246619
hicp,binpre12_7,-10,-0.0159079955436511,0.220375900421359,0.942454100282644,240,0.854165541684814,0.848458975924654
hicp,bint0,0,0.444509455042321,0.181618707838552,0.0143856251685776,240,0.854165541684814,0.848458975924654
hicp,binpost1_6,3,0.914804256615374,0.316375632362137,0.00383391720047138,240,0.854165541684814,0.848458975924654
hicp,binpost7_12,9,0.673560700983776,0.257299340512299,0.00884961510088424,240,0.854165541684814,0.848458975924654
hicp,binpost13_18,15,0.507734378143089,0.317059010397882,0.109291090180641,240,0.854165541684814,0.848458975924654
hicp,binPre_Tail,,1.09929095097776,0.454766052075006,0.0156375437376194,240,0.854165541684814,0.848458975924654
hicp,binPost_Tail,,3.30593411348815,0.821242126957858,5.68473397434816e-05,240,0.854165541684814,0.848458975924654
hicp_yoy,binpre12_7,-10,-0.382585154990197,0.208917878353263,0.0670601731886042,228,0.237237454036664,0.205747257184966
hicp_yoy,bint0,0,1.11570041762219,0.21654646239669,2.57386536753876e-07,228,0.237237454036664,0.205747257184966
hicp_yoy,binpost1_6,3,1.631100644129,0.352511205337036,3.70841568889532e-06,228,0.237237454036664,0.205747257184966
hicp_yoy,binpost7_12,9,1.26109668876293,0.282798391832483,8.22090165717576e-06,228,0.237237454036664,0.205747257184966
hicp_yoy,binpost13_18,15,0.518665815172045,0.432101386239922,0.230009803048027,228,0.237237454036664,0.205747257184966
hicp_yoy,binPre_Tail,,-0.137362694114528,0.533626585026444,0.796859572074848,228,0.237237454036664,0.205747257184966
hicp_yoy,binPost_Tail,,2.27272792118886,0.799983806731936,0.00449769088710359,228,0.237237454036664,0.205747257184966
imports_world_meur,binpre12_7,-10,118.21674547009,113.627823053538,0.298160811179194,240,0.953049773345717,0.951212590563593
imports_world_meur,bint0,0,-559.742750009635,99.493274684604,1.84505241053342e-08,240,0.953049773345717,0.951212590563593
imports_world_meur,binpost1_6,3,-892.419870726904,103.366372121468,5.94709599694332e-18,240,0.953049773345717,0.951212590563593
imports_world_meur,binpost7_12,9,-144.341951264832,149.885710466446,0.335540786558151,240,0.953049773345717,0.951212590563593
imports_world_meur,binpost13_18,15,345.374531499263,165.609215283268,0.0370258474543998,240,0.953049773345717,0.951212590563593
imports_world_meur,binPre_Tail,,174.034810289325,219.215429560058,0.427254497549542,240,0.953049773345717,0.951212590563593
imports_world_meur,binPost_Tail,,1214.68157655286,389.103560332114,0.00179783398809616,240,0.953049773345717,0.951212590563593
log_exp,binpre12_7,-10,0.0438292696864759,0.0139665359374715,0.00170010165999963,240,0.665994247820077,0.652924457517384
log_exp,bint0,0,0.0210207958787723,0.013901849371157,0.130511911432413,240,0.665994247820077,0.652924457517384
log_exp,binpost1_6,3,-0.00887154824346232,0.0517291576063576,0.863830665187376,240,0.665994247820077,0.652924457517384
log_exp,binpost7_12,9,-0.0561566570578949,0.022925706649262,0.0143052307936626,240,0.665994247820077,0.652924457517384
log_exp,binpost13_18,15,-0.0671748931909353,0.0184441902896802,0.000270462418487197,240,0.665994247820077,0.652924457517384
log_exp,binPre_Tail,,0.0531112207128483,0.0218856494681956,0.0152343261654053,240,0.665994247820077,0.652924457517384
log_exp,binPost_Tail,,-0.165642193335421,0.0281012340169661,3.75860569120847e-09,240,0.665994247820077,0.652924457517384
log_imp,binpre12_7,-10,0.0135323266917968,0.0114236780403043,0.236181257578779,240,0.672719642488496,0.659913019803264
log_imp,bint0,0,0.015694178915083,0.0117146993407189,0.180343002837546,240,0.672719642488496,0.659913019803264
log_imp,binpost1_6,3,0.0333443415960717,0.0504127616268062,0.508338770930022,240,0.672719642488496,0.659913019803264
log_imp,binpost7_12,9,-0.0320809743910921,0.0140152839112699,0.0220793958396757,240,0.672719642488496,0.659913019803264
log_imp,binpost13_18,15,-0.0231225730112569,0.0164639631218212,0.160189228809056,240,0.672719642488496,0.659913019803264
log_imp,binPre_Tail,,0.0606912360286141,0.0186685593410896,0.00115005282976848,240,0.672719642488496,0.659913019803264
log_imp,binPost_Tail,,-0.102867089322765,0.0251704972718087,4.3734129623597e-05,240,0.672719642488496,0.659913019803264
unemp_rate,binpre12_7,-10,0.179267484237365,0.151384798326208,0.236340160544663,240,0.647653277653416,0.633865797213767
unemp_rate,bint0,0,-0.46896051643339,0.123476626597186,0.000145886008805445,240,0.647653277653416,0.633865797213767
unemp_rate,binpost1_6,3,-0.487031072383924,0.158406137247828,0.00210804839973816,240,0.647653277653416,0.633865797213767
