outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-75.6933839134729,135.09045757846,0.575263718522498,240,0.957818153060931,0.956357309876894
exports_world_meur,bint0,0,400.47391839397,130.294807805123,0.00211493896835763,240,0.957818153060931,0.956357309876894
exports_world_meur,binpost1_6,3,1321.78117012127,357.710834200663,0.000219790910998172,240,0.957818153060931,0.956357309876894
exports_world_meur,binpost7_12,9,2062.75788736808,184.176847003151,4.08303629924169e-29,240,0.957818153060931,0.956357309876894
exports_world_meur,binpost13_18,15,1110.30127128155,146.525237108043,3.52160570284279e-14,240,0.957818153060931,0.956357309876894
exports_world_meur,binPre_Tail,,-491.602308511282,206.561028216936,0.0173155811442205,240,0.957818153060931,0.956357309876894
exports_world_meur,binPost_Tail,,1138.89020232055,148.486311967204,1.71994638213348e-14,240,0.957818153060931,0.956357309876894
hicp,binpre12_7,-10,-0.124917661614446,0.225815647199559,0.580137244089614,240,0.834094412848917,0.828348764809052
hicp,bint0,0,2.23731308038623,0.22105410327356,4.45332300230554e-24,240,0.834094412848917,0.828348764809052
hicp,binpost1_6,3,4.01795949410576,0.582992748408187,5.50309783943327e-12,240,0.834094412848917,0.828348764809052
hicp,binpost7_12,9,4.03121048905356,0.855769139253098,2.46954044793789e-06,240,0.834094412848917,0.828348764809052
hicp,binpost13_18,15,5.25779481733468,0.327959925212268,7.66046369083129e-58,240,0.834094412848917,0.828348764809052
hicp,binPre_Tail,,-1.90256269676348,0.397777164319645,1.7270996731021e-06,240,0.834094412848917,0.828348764809052
hicp,binPost_Tail,,3.96550397979117,0.276074023137116,8.71602323428211e-47,240,0.834094412848917,0.828348764809052
hicp_yoy,binpre12_7,-10,0.390629156102779,0.25773157054858,0.129609544465255,228,0.284732406066115,0.258603909484055
hicp_yoy,bint0,0,1.4090135202629,0.163468350666056,6.72540288890521e-18,228,0.284732406066115,0.258603909484055
hicp_yoy,binpost1_6,3,3.06945376994196,0.441440954224643,3.56939724274594e-12,228,0.284732406066115,0.258603909484055
hicp_yoy,binpost7_12,9,2.33419486150764,0.302565779862584,1.21296551628417e-14,228,0.284732406066115,0.258603909484055
hicp_yoy,binpost13_18,15,-0.0359090497114103,0.28178297262085,0.898596013271305,228,0.284732406066115,0.258603909484055
hicp_yoy,binPre_Tail,,0.514277678078573,0.353549902798522,0.145776905322052,228,0.284732406066115,0.258603909484055
hicp_yoy,binPost_Tail,,0.350187048878966,0.31644845532148,0.268459815762601,228,0.284732406066115,0.258603909484055
imports_world_meur,binpre12_7,-10,-447.519317551124,100.133782968024,7.85075076643688e-06,240,0.953300782848331,0.951683493942646
imports_world_meur,bint0,0,655.652935238146,44.0324086686121,3.81423598685334e-50,240,0.953300782848331,0.951683493942646
imports_world_meur,binpost1_6,3,1684.23920380964,230.790120077217,2.92708207776515e-13,240,0.953300782848331,0.951683493942646
imports_world_meur,binpost7_12,9,1664.87518802743,330.485335566858,4.71239470364474e-07,240,0.953300782848331,0.951683493942646
imports_world_meur,binpost13_18,15,795.694505578555,115.427572092822,5.44542408160232e-12,240,0.953300782848331,0.951683493942646
imports_world_meur,binPre_Tail,,-1273.08097636162,136.821755805382,1.34411934171522e-20,240,0.953300782848331,0.951683493942646
imports_world_meur,binPost_Tail,,329.643936871157,74.3373196922654,9.23145002192316e-06,240,0.953300782848331,0.951683493942646
log_exp,binpre12_7,-10,0.00353928784456656,0.0158826403880229,0.82366002238627,240,0.0742611724503518,0.0422009533144333
log_exp,bint0,0,-0.0217147307435337,0.0136666923840074,0.112087544359478,240,0.0742611724503518,0.0422009533144333
log_exp,binpost1_6,3,0.0197012511965193,0.014370229687795,0.170382195188501,240,0.0742611724503518,0.0422009533144333
log_exp,binpost7_12,9,0.0439428213277991,0.0160919386862988,0.00631932483463203,240,0.0742611724503518,0.0422009533144333
log_exp,binpost13_18,15,-0.0126887958274411,0.0144869768206277,0.381097428605493,240,0.0742611724503518,0.0422009533144333
log_exp,binPre_Tail,,-0.0527056280135979,0.0267960026836286,0.0491922863241244,240,0.0742611724503518,0.0422009533144333
log_exp,binPost_Tail,,0.0165941748073104,0.0165420824332656,0.315788936107694,240,0.0742611724503518,0.0422009533144333
log_imp,binpre12_7,-10,-0.0129903899020483,0.0191023656256306,0.496478564303346,240,0.154131441639056,0.12483729243175
log_imp,bint0,0,-0.0201644272712228,0.019032560187245,0.289385767419018,240,0.154131441639056,0.12483729243175
log_imp,binpost1_6,3,0.0299317366726884,0.0191628885983695,0.118296536956207,240,0.154131441639056,0.12483729243175
log_imp,binpost7_12,9,0.0250127046863176,0.0242918132888987,0.303161979597931,240,0.154131441639056,0.12483729243175
log_imp,binpost13_18,15,0.00305653065253634,0.0196981694616852,0.8766886711562,240,0.154131441639056,0.12483729243175
log_imp,binPre_Tail,,-0.0871221239707519,0.0284933677170673,0.00223096207229259,240,0.154131441639056,0.12483729243175
log_imp,binPost_Tail,,-0.00526305301015175,0.021340727860781,0.805202226688023,240,0.154131441639056,0.12483729243175
unemp_rate,binpre12_7,-10,0.312719384681803,0.141114777235116,0.0266871159328109,240,0.626821197379947,0.613897256163668
unemp_rate,bint0,0,0.167580358935608,0.0677265555618379,0.0133472480589132,240,0.626821197379947,0.613897256163668
