outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-84.8299204301552,155.454895955622,0.585280204595614,240,0.9625171793823,0.960880374988514
exports_world_meur,bint0,0,905.572148828919,219.050892188986,3.56391821391867e-05,240,0.9625171793823,0.960880374988514
exports_world_meur,binpost1_6,3,1446.97977370591,319.473246240518,5.91885403941015e-06,240,0.9625171793823,0.960880374988514
exports_world_meur,binpost7_12,9,2061.69533993825,202.174502483756,2.03225912423229e-24,240,0.9625171793823,0.960880374988514
exports_world_meur,binpost13_18,15,1244.63084586548,184.129159514345,1.38417946954271e-11,240,0.9625171793823,0.960880374988514
exports_world_meur,binPre_Tail,,-561.215586322768,214.275972091019,0.00881556006543261,240,0.9625171793823,0.960880374988514
exports_world_meur,binPost_Tail,,1286.89321543806,199.133294881323,1.03006644417558e-10,240,0.9625171793823,0.960880374988514
hicp,binpre12_7,-10,-0.228352958967992,0.214849831824627,0.287850370782667,240,0.871932613116811,0.866340150807502
hicp,bint0,0,1.69309883346175,0.307721649407094,3.75407839959908e-08,240,0.871932613116811,0.866340150807502
hicp,binpost1_6,3,4.02587139484154,0.661975815449192,1.18989928671824e-09,240,0.871932613116811,0.866340150807502
hicp,binpost7_12,9,4.64767975597019,0.923311088156267,4.81078633872129e-07,240,0.871932613116811,0.866340150807502
hicp,binpost13_18,15,6.34765145915269,0.450847138894951,5.08487657485493e-45,240,0.871932613116811,0.866340150807502
hicp,binPre_Tail,,-1.79041007063697,0.341432901759354,1.57292165416109e-07,240,0.871932613116811,0.866340150807502
hicp,binPost_Tail,,5.36251715940121,0.385930272134943,6.78841250237782e-44,240,0.871932613116811,0.866340150807502
hicp_yoy,binpre12_7,-10,0.441277548717052,0.266771482956349,0.0980989425624282,228,0.307766799926097,0.275866652457253
hicp_yoy,bint0,0,1.04482099123134,0.365327336281931,0.00423696557460364,228,0.307766799926097,0.275866652457253
hicp_yoy,binpost1_6,3,2.92499187832498,0.467906675719454,4.07234697251437e-10,228,0.307766799926097,0.275866652457253
