outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-1024.64303801199,302.868844294703,0.000716661095279836,240,0.958513399267313,0.957076633873973
exports_world_meur,bint0,0,-127.336005604125,234.851763370409,0.587682555209066,240,0.958513399267313,0.957076633873973
exports_world_meur,binpost1_6,3,187.427988791763,254.034360481346,0.460632553854544,240,0.958513399267313,0.957076633873973
exports_world_meur,binpost7_12,9,347.071026803745,273.188755405799,0.203926503370966,240,0.958513399267313,0.957076633873973
exports_world_meur,binpost13_18,15,1558.34739814906,374.776712200694,3.20949205385337e-05,240,0.958513399267313,0.957076633873973
exports_world_meur,binPre_Tail,,-179.943827128146,275.312018519272,0.513369797445248,240,0.958513399267313,0.957076633873973
exports_world_meur,binPost_Tail,,1706.02144005993,331.324161163978,2.61738466700401e-07,240,0.958513399267313,0.957076633873973
hicp,binpre12_7,-10,-0.421930966303279,0.221375681716115,0.056656701410971,240,0.845043529912319,0.839677072073785
hicp,bint0,0,0.473904174788021,0.116136930725478,4.4926563138651e-05,240,0.845043529912319,0.839677072073785
hicp,binpost1_6,3,0.201141682909385,0.124918217902317,0.107357051871854,240,0.845043529912319,0.839677072073785
hicp,binpost7_12,9,0.704739315879333,0.508738891721553,0.165970769746844,240,0.845043529912319,0.839677072073785
hicp,binpost13_18,15,4.38500361551594,0.476237918323193,3.33528135590083e-20,240,0.845043529912319,0.839677072073785
hicp,binPre_Tail,,-1.97477896118385,0.333183134303064,3.08504748802364e-09,240,0.845043529912319,0.839677072073785
hicp,binPost_Tail,,4.87298816484974,0.478618614991917,2.40182160363224e-24,240,0.845043529912319,0.839677072073785
hicp_yoy,binpre12_7,-10,-0.213187466221351,0.190500440344931,0.263101010122226,228,0.254725967464052,0.227501345270958
hicp_yoy,bint0,0,-0.26631340004424,0.190386479308473,0.161871717267244,228,0.254725967464052,0.227501345270958
hicp_yoy,binpost1_6,3,-1.08820035660129,0.360376699814637,0.00253092783396487,228,0.254725967464052,0.227501345270958
hicp_yoy,binpost7_12,9,-0.926635471524481,0.335904292689095,0.00580443122358893,228,0.254725967464052,0.227501345270958
hicp_yoy,binpost13_18,15,1.84579010784561,0.409172841062734,6.45142293105353e-06,228,0.254725967464052,0.227501345270958
hicp_yoy,binPre_Tail,,-0.944090181164314,0.372107396491889,0.01117608586727,228,0.254725967464052,0.227501345270958
hicp_yoy,binPost_Tail,,-0.256402381160043,0.584307464241241,0.660796209132733,228,0.254725967464052,0.227501345270958
imports_world_meur,binpre12_7,-10,-387.835779248633,147.531298752377,0.00856773444999425,240,0.949112109637813,0.947349758456438
imports_world_meur,bint0,0,158.313926783926,146.045667836979,0.278363515104931,240,0.949112109637813,0.947349758456438
imports_world_meur,binpost1_6,3,932.377853567853,154.95830738367,1.77723566250589e-09,240,0.949112109637813,0.947349758456438
imports_world_meur,binpost7_12,9,1300.46363281648,189.524670051776,6.80403089393315e-12,240,0.949112109637813,0.947349758456438
imports_world_meur,binpost13_18,15,2881.38274539845,258.593632599946,7.78905487758981e-29,240,0.949112109637813,0.947349758456438
imports_world_meur,binPre_Tail,,-46.2210513854905,204.006297714292,0.820760620888527,240,0.949112109637813,0.947349758456438
imports_world_meur,binPost_Tail,,2200.31222957651,338.06811924652,7.59110733595254e-11,240,0.949112109637813,0.947349758456438
log_exp,binpre12_7,-10,0.059640582214271,0.0210053603613847,0.00452122058595861,240,0.142011540706074,0.112297654669921
log_exp,bint0,0,-0.0113358217490635,0.0169247044647545,0.502998301305335,240,0.142011540706074,0.112297654669921
log_exp,binpost1_6,3,0.0219204164648061,0.0196351063380218,0.264255665748544,240,0.142011540706074,0.112297654669921
log_exp,binpost7_12,9,0.000783954734879761,0.0200377698533713,0.96879164466826,240,0.142011540706074,0.112297654669921
log_exp,binpost13_18,15,0.0308004677999215,0.0192542591094869,0.109671728283027,240,0.142011540706074,0.112297654669921
log_exp,binPre_Tail,,-0.0653306191403869,0.0296494672515519,0.0275642335813284,240,0.142011540706074,0.112297654669921
log_exp,binPost_Tail,,0.0286532382800862,0.0220281767620118,0.193342683719146,240,0.142011540706074,0.112297654669921
log_imp,binpre12_7,-10,0.0638966411806341,0.0226207688492475,0.00473264997474215,240,0.240644076987979,0.214346036364186
log_imp,bint0,0,-0.00122463018225103,0.00793963667388855,0.877418456249096,240,0.240644076987979,0.214346036364186
log_imp,binpost1_6,3,0.0456561442656298,0.0108295884440841,2.48816335350867e-05,240,0.240644076987979,0.214346036364186
log_imp,binpost7_12,9,0.0317473601413564,0.0154761548670392,0.0402306746854486,240,0.240644076987979,0.214346036364186
log_imp,binpost13_18,15,0.0746190453420713,0.0131994347512462,1.57487817244159e-08,240,0.240644076987979,0.214346036364186
log_imp,binPre_Tail,,-0.0670679263188467,0.0224275882084792,0.00278593362688469,240,0.240644076987979,0.214346036364186
log_imp,binPost_Tail,,0.0556460944773909,0.0134234248214555,3.39151628242149e-05,240,0.240644076987979,0.214346036364186
unemp_rate,binpre12_7,-10,-0.0242833674868258,0.0945959191200104,0.797405515185601,240,0.62806612230923,0.615185295376216
unemp_rate,bint0,0,0.0530541865895291,0.0790271807168278,0.502003320873313,240,0.62806612230923,0.615185295376216
unemp_rate,binpost1_6,3,-0.043891626820934,0.106209828211249,0.67942059400221,240,0.62806612230923,0.615185295376216
unemp_rate,binpost7_12,9,-0.352941592667447,0.0969913303783487,0.000273806835450191,240,0.62806612230923,0.615185295376216
unemp_rate,binpost13_18,15,-0.145324891847292,0.113080539863071,0.198741614495404,240,0.62806612230923,0.615185295376216
unemp_rate,binPre_Tail,,-0.404213402777454,0.332953536724671,0.224738767916017,240,0.62806612230923,0.615185295376216
unemp_rate,binPost_Tail,,0.152666837434113,0.164191561560763,0.352469841283119,240,0.62806612230923,0.615185295376216
