outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre6_1,-4,-323.659940173817,178.223724405385,0.0693655035621184,31,0.891502102956773,0.852048322213782
exports_world_meur,bint0,0,-805.65662033865,235.04113956764,0.000608659490357199,31,0.891502102956773,0.852048322213782
exports_world_meur,binpost1_6,3,-524.430610017838,287.244751328371,0.0678913353453904,31,0.891502102956773,0.852048322213782
exports_world_meur,binpost7_12,9,-536.032684487917,366.260614905066,0.143322943336769,31,0.891502102956773,0.852048322213782
exports_world_meur,binpost13_18,15,-415.193817708746,460.213123273875,0.366962708933249,31,0.891502102956773,0.852048322213782
hicp,binpre6_1,-4,0.22065429113066,0.323705036434079,0.495458819329215,31,0.737235571909496,0.641684870785676
hicp,bint0,0,1.54969566480352,0.394860059014713,8.68484938665555e-05,31,0.737235571909496,0.641684870785676
hicp,binpost1_6,3,2.32863224548289,0.473289565866888,8.64997707265036e-07,31,0.737235571909496,0.641684870785676
hicp,binpost7_12,9,1.8650841523184,0.665729506885632,0.00508554741028432,31,0.737235571909496,0.641684870785676
hicp,binpost13_18,15,2.75296486739524,0.972955004356451,0.00466224947684996,31,0.737235571909496,0.641684870785676
hicp_yoy,binpre6_1,-4,-1.16035878059964,0.722082589699741,0.108062856739717,31,0.903162035617215,0.867948230387111
hicp_yoy,bint0,0,-1.96887310127331,0.882483836554047,0.0256772514833658,31,0.903162035617215,0.867948230387111
hicp_yoy,binpost1_6,3,-0.28076908013492,1.1463959621153,0.80652257590439,31,0.903162035617215,0.867948230387111
hicp_yoy,binpost7_12,9,0.260257296864066,1.65808841779802,0.8752745955408,31,0.903162035617215,0.867948230387111
hicp_yoy,binpost13_18,15,0.730222772846665,2.16109644887136,0.735442633556019,31,0.903162035617215,0.867948230387111
imports_world_meur,binpre6_1,-4,-358.264631196245,125.737019151579,0.00438131970414637,31,0.928580625062981,0.902609943267702
imports_world_meur,bint0,0,-1235.3116270496,209.528749158797,3.73172004826008e-09,31,0.928580625062981,0.902609943267702
imports_world_meur,binpost1_6,3,-964.390449512964,213.538325826271,6.29471515038188e-06,31,0.928580625062981,0.902609943267702
imports_world_meur,binpost7_12,9,-830.716849670993,297.108875957724,0.00517391673913853,31,0.928580625062981,0.902609943267702
imports_world_meur,binpost13_18,15,-547.506739030906,368.568718561604,0.13741292614628,31,0.928580625062981,0.902609943267702
log_exp,binpre6_1,-4,-0.0298720988171943,0.0228376054886105,0.190865722513983,31,0.37576487728254,0.148770287203464
log_exp,bint0,0,-0.0707136838751572,0.0325048494517805,0.029594086985655,31,0.37576487728254,0.148770287203464
log_exp,binpost1_6,3,-0.0638128484472002,0.0403130998397049,0.113437231671609,31,0.37576487728254,0.148770287203464
log_exp,binpost7_12,9,-0.0919589138078561,0.0450692745758612,0.0413114603333414,31,0.37576487728254,0.148770287203464
log_exp,binpost13_18,15,-0.0869114099899255,0.0588419136409216,0.139666965813164,31,0.37576487728254,0.148770287203464
log_imp,binpre6_1,-4,-0.0128886708416919,0.016580997839734,0.43697250249332,31,0.557741442096063,0.396920148312813
log_imp,bint0,0,-0.150022310163689,0.032694528131653,4.46215568317262e-06,31,0.557741442096063,0.396920148312813
log_imp,binpost1_6,3,-0.0784621032105053,0.0329235539903088,0.0171647232541127,31,0.557741442096063,0.396920148312813
log_imp,binpost7_12,9,-0.0492225093812887,0.036019609725912,0.171767167288615,31,0.557741442096063,0.396920148312813
log_imp,binpost13_18,15,-0.00991333234141103,0.0452188193559992,0.826470705081222,31,0.557741442096063,0.396920148312813
unemp_rate,binpre6_1,-4,1.35105811251352,0.51425625698592,0.00860887127255443,31,0.907654114401505,0.874073792365689
unemp_rate,bint0,0,1.0061565873321,0.621867244054163,0.105671127793044,31,0.907654114401505,0.874073792365689
unemp_rate,binpost1_6,3,0.676488405415015,0.755092016361671,0.370305135777469,31,0.907654114401505,0.874073792365689
unemp_rate,binpost7_12,9,0.189936388082461,1.17063241957256,0.871108127401407,31,0.907654114401505,0.874073792365689
unemp_rate,binpost13_18,15,-0.214297895584433,1.4713002143359,0.884196074410466,31,0.907654114401505,0.874073792365689
