outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-368.879333333334,184.927781869073,0.0460733157137647,31,0.798190354285818,0.747737942857272
exports_world_meur,bint0,0,356.656,108.340004673318,0.000994753112518242,31,0.798190354285818,0.747737942857272
exports_world_meur,binpost1_6,3,432.562,210.94234120465,0.040304236837972,31,0.798190354285818,0.747737942857272
exports_world_meur,binpost7_12,9,-206.242,399.026189108061,0.605251575927208,31,0.798190354285818,0.747737942857272
exports_world_meur,binpost13_18,15,-630.179333333333,506.876910916474,0.213772369700235,31,0.798190354285818,0.747737942857272
hicp,binpre12_7,-10,-1.01720000000001,0.416509955036423,0.0145981162957023,31,0.897936337027649,0.872420421284561
hicp,bint0,0,2.0842,0.206756521349777,6.74125899315984e-24,31,0.897936337027649,0.872420421284561
hicp,binpost1_6,3,1.57006666666667,0.397081971227084,7.68517244603906e-05,31,0.897936337027649,0.872420421284561
hicp,binpost7_12,9,0.655600000000004,0.843505815433009,0.437021704385866,31,0.897936337027649,0.872420421284561
hicp,binpost13_18,15,1.04613333333334,1.05153156359441,0.319801287144925,31,0.897936337027649,0.872420421284561
hicp_yoy,binpre12_7,-10,-1.92678641781684,1.19725274329305,0.107542074120646,31,0.761123188043467,0.701403985054333
hicp_yoy,bint0,0,2.95214660399055,0.641096818098087,4.1278826269388e-06,31,0.761123188043467,0.701403985054333
hicp_yoy,binpost1_6,3,1.48607490809248,1.02934079370617,0.14881911540572,31,0.761123188043467,0.701403985054333
hicp_yoy,binpost7_12,9,-0.694677908361928,2.06647581579523,0.736746055661999,31,0.761123188043467,0.701403985054333
hicp_yoy,binpost13_18,15,-1.43294367557198,2.74621750336114,0.601817860257938,31,0.761123188043467,0.701403985054333
imports_world_meur,binpre12_7,-10,-472.528571428572,174.712939283249,0.00683867345491638,31,0.778846246063544,0.72355780757943
imports_world_meur,bint0,0,454.350000000001,93.1758153025075,1.08113153370018e-06,31,0.778846246063544,0.72355780757943
imports_world_meur,binpost1_6,3,547.133333333334,177.768713130824,0.00208547463155858,31,0.778846246063544,0.72355780757943
imports_world_meur,binpost7_12,9,388.028571428573,323.541120105072,0.230404459960747,31,0.778846246063544,0.72355780757943
imports_world_meur,binpost13_18,15,-32.1928571428552,445.013433097227,0.942330285834372,31,0.778846246063544,0.72355780757943
log_exp,binpre12_7,-10,0.0119684298146662,0.0193371493896739,0.5359594780432,31,0.349571511671107,0.186964389588884
log_exp,bint0,0,-0.0192336149113697,0.01441648065885,0.182157719582259,31,0.349571511671107,0.186964389588884
log_exp,binpost1_6,3,-0.0297483097177262,0.023618579989691,0.207838966488655,31,0.349571511671107,0.186964389588884
log_exp,binpost7_12,9,-0.0798391837503919,0.0375853816531558,0.0336527204162924,31,0.349571511671107,0.186964389588884
log_exp,binpost13_18,15,-0.078718406682352,0.0530481263449786,0.137833991391711,31,0.349571511671107,0.186964389588884
log_imp,binpre12_7,-10,-0.0259501536030389,0.0159259572577052,0.103223070719871,31,0.301898494665064,0.12737311833133
log_imp,bint0,0,0.011624043772907,0.0122367805197711,0.342149530733696,31,0.301898494665064,0.12737311833133
log_imp,binpost1_6,3,0.0141132938126429,0.0208549559294532,0.498573642708466,31,0.301898494665064,0.12737311833133
log_imp,binpost7_12,9,0.0384171888016134,0.0351943644799029,0.275021194176717,31,0.301898494665064,0.12737311833133
log_imp,binpost13_18,15,0.0733430431617599,0.0472104298883992,0.120295435212427,31,0.301898494665064,0.12737311833133
unemp_rate,binpre12_7,-10,0.538571428571429,0.288278584604767,0.0617296668129082,31,0.805813111044179,0.757266388805223
unemp_rate,bint0,0,0.156666666666665,0.253456932595951,0.5364965841326,31,0.805813111044179,0.757266388805223
unemp_rate,binpost1_6,3,0.196666666666666,0.379701753036426,0.604492891201958,31,0.805813111044179,0.757266388805223
unemp_rate,binpost7_12,9,1.1247619047619,0.655750548671301,0.0863033765604154,31,0.805813111044179,0.757266388805223
unemp_rate,binpost13_18,15,0.419523809523807,0.929252641342042,0.651655402120194,31,0.805813111044179,0.757266388805223
