outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,185.330049540324,203.344936816475,0.3620808353525,31,0.861071492008093,0.818788902619252
exports_world_meur,bint0,0,-871.294784372566,166.328604250873,1.61979851428268e-07,31,0.861071492008093,0.818788902619252
exports_world_meur,binpost1_6,3,-642.787657552516,226.270759634161,0.00450019691162799,31,0.861071492008093,0.818788902619252
exports_world_meur,binpost7_12,9,-541.874544768888,310.975787055278,0.0814214210768976,31,0.861071492008093,0.818788902619252
exports_world_meur,binpost13_18,15,-471.063305784463,383.227985642265,0.218997351403449,31,0.861071492008093,0.818788902619252
hicp,binpre12_7,-10,-0.547123358579853,0.374324239202517,0.143842760070758,31,0.6714558415641,0.571464141170565
hicp,bint0,0,0.533965210625773,0.328228923606627,0.103778029689452,31,0.6714558415641,0.571464141170565
hicp,binpost1_6,3,1.24968478381684,0.430038566604484,0.00366101284480566,31,0.6714558415641,0.571464141170565
hicp,binpost7_12,9,0.988925816542045,0.590716271967804,0.0941083845641881,31,0.6714558415641,0.571464141170565
hicp,binpost13_18,15,1.65529808348816,0.729071593162453,0.0231821656077044,31,0.6714558415641,0.571464141170565
hicp_yoy,binpre12_7,-10,-0.186443963398365,0.357015635100071,0.601510808445173,31,0.940079699703634,0.921843086569958
hicp_yoy,bint0,0,-1.53322103489889,0.291039161946713,1.37849139505772e-07,31,0.940079699703634,0.921843086569958
hicp_yoy,binpost1_6,3,-0.0431402057395494,0.419654903503669,0.918122307333183,31,0.940079699703634,0.921843086569958
hicp_yoy,binpost7_12,9,0.494296590602232,0.730848969549586,0.498829840768806,31,0.940079699703634,0.921843086569958
hicp_yoy,binpost13_18,15,0.0765632891243136,1.03960155657104,0.941291460899867,31,0.940079699703634,0.921843086569958
imports_world_meur,binpre12_7,-10,100.090181806634,92.6827117225431,0.280176519661468,31,0.918293959372374,0.893426903529184
imports_world_meur,bint0,0,-985.866537734798,95.9106386971024,8.76218250783706e-25,31,0.918293959372374,0.893426903529184
imports_world_meur,binpost1_6,3,-817.441451594974,128.503607826047,2.00139954100751e-10,31,0.918293959372374,0.893426903529184
imports_world_meur,binpost7_12,9,-669.56994871306,224.295018612081,0.00283374547376886,31,0.918293959372374,0.893426903529184
imports_world_meur,binpost13_18,15,-438.716129821048,304.144222163215,0.149172411534391,31,0.918293959372374,0.893426903529184
log_exp,binpre12_7,-10,0.0415398572453649,0.0299815533604332,0.165895402323549,31,0.290173524882955,0.0741393802821158
log_exp,bint0,0,-0.0274449515042565,0.015247791010744,0.0718717434153185,31,0.290173524882955,0.0741393802821158
log_exp,binpost1_6,3,-0.00654223779034417,0.0299390081850947,0.827024869052848,31,0.290173524882955,0.0741393802821158
log_exp,binpost7_12,9,-0.0415961419995887,0.038511490626489,0.280099028030448,31,0.290173524882955,0.0741393802821158
log_exp,binpost13_18,15,-0.0505874654735906,0.054198886500576,0.350630385345217,31,0.290173524882955,0.0741393802821158
log_imp,binpre12_7,-10,0.0235930486445364,0.024775917544507,0.340966501390848,31,0.39443477797151,0.210132319093273
log_imp,bint0,0,-0.0916373616242096,0.0218692956762821,2.78672802250624e-05,31,0.39443477797151,0.210132319093273
log_imp,binpost1_6,3,-0.0102361193494283,0.0344283585745917,0.76622487957414,31,0.39443477797151,0.210132319093273
log_imp,binpost7_12,9,0.00319853553730657,0.0442174262076126,0.942334087615692,31,0.39443477797151,0.210132319093273
log_imp,binpost13_18,15,0.0368444386408812,0.0550077622911372,0.502982518184434,31,0.39443477797151,0.210132319093273
unemp_rate,binpre12_7,-10,-0.985716667460583,0.447841020753621,0.0277330867853166,31,0.909892455602786,0.88246842035146
unemp_rate,bint0,0,0.0615921973991305,0.19599705538678,0.753330694550859,31,0.909892455602786,0.88246842035146
unemp_rate,binpost1_6,3,-0.202724797154611,0.322510495847484,0.529621722876905,31,0.909892455602786,0.88246842035146
unemp_rate,binpost7_12,9,-0.759779212118331,0.780221575307383,0.330156208229329,31,0.909892455602786,0.88246842035146
unemp_rate,binpost13_18,15,-0.932727972816344,1.13271910416933,0.410256944054622,31,0.909892455602786,0.88246842035146
