outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-84.2246657653321,275.784630069906,0.760061412048344,31,0.782646097080458,0.703608314200624
exports_world_meur,bint0,0,741.868818413101,749.172477980211,0.32205143535801,31,0.782646097080458,0.703608314200624
exports_world_meur,binpost1_6,3,-851.500827391502,399.889949142542,0.0332263136900592,31,0.782646097080458,0.703608314200624
exports_world_meur,binpost7_12,9,546.394480474344,501.358288513783,0.275788759583652,31,0.782646097080458,0.703608314200624
exports_world_meur,binpost13_18,15,425.520838363227,852.466126347878,0.617663492652594,31,0.782646097080458,0.703608314200624
hicp,binpre12_7,-10,0.320762424326175,0.340158739922966,0.345691831035798,31,0.896041169306515,0.858237958145247
hicp,bint0,0,0.955308583384313,1.07579222966978,0.374538209530789,31,0.896041169306515,0.858237958145247
hicp,binpost1_6,3,0.329593532353567,0.643712558017765,0.608637198846648,31,0.896041169306515,0.858237958145247
hicp,binpost7_12,9,-0.420871859481505,0.858031209120108,0.623773903654713,31,0.896041169306515,0.858237958145247
hicp,binpost13_18,15,-1.15169112133801,1.16664631338561,0.323553894707251,31,0.896041169306515,0.858237958145247
hicp_yoy,binpre12_7,-10,-0.514441451180351,0.416530692399816,0.216807232872584,31,0.802747229366105,0.731018949135597
hicp_yoy,bint0,0,0.74268094878219,1.04635239986297,0.477840014754996,31,0.802747229366105,0.731018949135597
hicp_yoy,binpost1_6,3,0.938607337891615,0.781043593677734,0.229466258391904,31,0.802747229366105,0.731018949135597
hicp_yoy,binpost7_12,9,0.416592765388955,1.12736151155301,0.711733465855638,31,0.802747229366105,0.731018949135597
hicp_yoy,binpost13_18,15,-0.611027854083233,1.66952939045861,0.714373971135509,31,0.802747229366105,0.731018949135597
imports_world_meur,binpre12_7,-10,172.5432077062,249.561660900474,0.489323580688995,31,0.8475597462344,0.792126926683273
imports_world_meur,bint0,0,513.169905378338,754.284284641018,0.49628908917995,31,0.8475597462344,0.792126926683273
imports_world_meur,binpost1_6,3,-601.208539308483,361.387850542592,0.0961903383755776,31,0.8475597462344,0.792126926683273
imports_world_meur,binpost7_12,9,55.6683455594968,499.969039214165,0.91134389387581,31,0.8475597462344,0.792126926683273
imports_world_meur,binpost13_18,15,465.554387333256,722.015426334517,0.519057842834989,31,0.8475597462344,0.792126926683273
log_exp,binpre12_7,-10,0.0135855741148,0.0172086317902994,0.429841581494577,31,0.710284773849379,0.604933782521881
log_exp,bint0,0,-0.0917384938808553,0.0778063305684122,0.238373457143831,31,0.710284773849379,0.604933782521881
log_exp,binpost1_6,3,0.135790656554395,0.0227738722880659,2.48311311307647e-09,31,0.710284773849379,0.604933782521881
log_exp,binpost7_12,9,0.189418216026738,0.0359806251117073,1.40609358211587e-07,31,0.710284773849379,0.604933782521881
log_exp,binpost13_18,15,0.306556947637837,0.0417744766441123,2.16196024944561e-13,31,0.710284773849379,0.604933782521881
log_imp,binpre12_7,-10,0.0055202224026283,0.0271758358190036,0.839033571357613,31,0.636267835037327,0.504001593232718
log_imp,bint0,0,-0.0715036142549431,0.101725493476475,0.482113384942795,31,0.636267835037327,0.504001593232718
log_imp,binpost1_6,3,0.144882259483052,0.0348352482389866,3.19545021781938e-05,31,0.636267835037327,0.504001593232718
log_imp,binpost7_12,9,0.148163567539254,0.0539787827767645,0.00605388839151561,31,0.636267835037327,0.504001593232718
log_imp,binpost13_18,15,0.249720564169241,0.091136915382007,0.00614280763642103,31,0.636267835037327,0.504001593232718
unemp_rate,binpre12_7,-10,-0.112070260226474,0.13040611441846,0.390123060728489,31,0.709888403246647,0.604393277154519
unemp_rate,bint0,0,0.876054025679202,0.288822226286572,0.00241979478177909,31,0.709888403246647,0.604393277154519
unemp_rate,binpost1_6,3,0.33607610265426,0.154489970164338,0.0296008225664248,31,0.709888403246647,0.604393277154519
unemp_rate,binpost7_12,9,0.875781125229888,0.224663352652689,9.6913134743894e-05,31,0.709888403246647,0.604393277154519
unemp_rate,binpost13_18,15,1.00826288048954,0.299985467347535,0.00077649836765902,31,0.709888403246647,0.604393277154519
