outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,533.834640435679,471.638006775588,0.257687550824752,31,0.73540174897261,0.654871846486013
exports_world_meur,bint0,0,-1276.90046459933,219.009292737562,5.53117921710464e-09,31,0.73540174897261,0.654871846486013
exports_world_meur,binpost1_6,3,-1313.38396465494,524.253841670807,0.012236683032256,31,0.73540174897261,0.654871846486013
exports_world_meur,binpost7_12,9,201.997212562803,674.197592048885,0.764473668822729,31,0.73540174897261,0.654871846486013
exports_world_meur,binpost13_18,15,485.73825433856,1032.47930885604,0.638027762684879,31,0.73540174897261,0.654871846486013
hicp,binpre12_7,-10,0.929113259975889,0.295860718206955,0.00168732364632858,31,0.895351616515387,0.863502108498331
hicp,bint0,0,0.00645237301306895,0.191930667775668,0.973181569758167,31,0.895351616515387,0.863502108498331
hicp,binpost1_6,3,0.151895409580747,0.397131180505171,0.702104099231268,31,0.895351616515387,0.863502108498331
hicp,binpost7_12,9,-0.452170628304865,0.542921103192491,0.404930591296927,31,0.895351616515387,0.863502108498331
hicp,binpost13_18,15,-0.712112307276978,0.819706093590709,0.384988799887862,31,0.895351616515387,0.863502108498331
hicp_yoy,binpre12_7,-10,0.34765121168311,0.514219171742442,0.498992429383409,31,0.803859984430812,0.744165197083668
hicp_yoy,bint0,0,0.844675812979885,0.345586314377701,0.0145181047735262,31,0.803859984430812,0.744165197083668
hicp_yoy,binpost1_6,3,1.24399804409491,0.619138369735373,0.0445116077495075,31,0.803859984430812,0.744165197083668
hicp_yoy,binpost7_12,9,0.940625998200944,0.857861573908061,0.272869821583641,31,0.803859984430812,0.744165197083668
hicp_yoy,binpost13_18,15,0.632612392303178,1.32580433330855,0.633252705240431,31,0.803859984430812,0.744165197083668
imports_world_meur,binpre12_7,-10,-218.16577605255,164.098132767621,0.183688473420174,31,0.866083499461323,0.825326303645205
imports_world_meur,bint0,0,-476.81204234734,141.835614718648,0.000774577951838847,31,0.866083499461323,0.825326303645205
imports_world_meur,binpost1_6,3,-839.850885294933,204.879116452067,4.1448966248002e-05,31,0.866083499461323,0.825326303645205
imports_world_meur,binpost7_12,9,-338.037226615051,306.989026103971,0.27083667948528,31,0.866083499461323,0.825326303645205
imports_world_meur,binpost13_18,15,-363.49890415849,476.184361111728,0.44525021789372,31,0.866083499461323,0.825326303645205
log_exp,binpre12_7,-10,-0.022535445834832,0.0560570447556366,0.68767728025355,31,0.258027495407122,0.0322097766179846
log_exp,bint0,0,0.068231788347802,0.0286000281986511,0.0170455144335093,31,0.258027495407122,0.0322097766179846
log_exp,binpost1_6,3,0.0940486784428659,0.0713744148788399,0.187610607342743,31,0.258027495407122,0.0322097766179846
log_exp,binpost7_12,9,0.156833528426549,0.0912598897927565,0.0856986493584675,31,0.258027495407122,0.0322097766179846
log_exp,binpost13_18,15,0.276056901834767,0.136449433381266,0.0430582659749322,31,0.258027495407122,0.0322097766179846
log_imp,binpre12_7,-10,-0.0699877896502855,0.0635849750847743,0.271028563809519,31,0.310073525519863,0.100095902851995
log_imp,bint0,0,0.0599883403710603,0.0298684226283151,0.0445986687165349,31,0.310073525519863,0.100095902851995
log_imp,binpost1_6,3,0.117506758097787,0.0767733141265796,0.125876259127658,31,0.310073525519863,0.100095902851995
log_imp,binpost7_12,9,0.112839754057194,0.0985261039149184,0.25209412214537,31,0.310073525519863,0.100095902851995
log_imp,binpost13_18,15,0.172051019201052,0.152690284651861,0.259828140503558,31,0.310073525519863,0.100095902851995
unemp_rate,binpre12_7,-10,-0.130472856031416,0.17621347901728,0.459042185559818,31,0.599815971181183,0.478020831975456
unemp_rate,bint0,0,-0.295562409692104,0.139448267969622,0.0340471405865502,31,0.599815971181183,0.478020831975456
unemp_rate,binpost1_6,3,-0.147518617316861,0.17534857954632,0.400186734470596,31,0.599815971181183,0.478020831975456
unemp_rate,binpost7_12,9,0.383405182679956,0.267706514789463,0.152090960560029,31,0.599815971181183,0.478020831975456
unemp_rate,binpost13_18,15,0.465819161942852,0.330840106626535,0.159134388940654,31,0.599815971181183,0.478020831975456
