outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,219.312190476182,369.321661352426,0.552629610060337,31,0.721770488977722,0.652213111222152
exports_world_meur,bint0,0,-1176.246,213.746951827262,3.73416876447291e-08,31,0.721770488977722,0.652213111222152
exports_world_meur,binpost1_6,3,-1194.89199999999,546.902954622146,0.0289010429314287,31,0.721770488977722,0.652213111222152
exports_world_meur,binpost7_12,9,209.095809523825,698.758178720465,0.764757573019308,31,0.721770488977722,0.652213111222152
exports_world_meur,binpost13_18,15,184.866952380976,1079.62694911108,0.864041149602694,31,0.721770488977722,0.652213111222152
hicp,binpre12_7,-10,0.527847619047622,0.283581389971116,0.0626930751306971,31,0.882800434807134,0.853500543508917
hicp,bint0,0,0.134866666666659,0.216378028725099,0.533092737813095,31,0.882800434807134,0.853500543508917
hicp,binpost1_6,3,0.303066666666656,0.444348793624242,0.495209367263561,31,0.882800434807134,0.853500543508917
hicp,binpost7_12,9,-0.443114285714304,0.640957456029269,0.48935703849368,31,0.882800434807134,0.853500543508917
hicp,binpost13_18,15,-1.09596190476193,0.959723754398407,0.25347248049379,31,0.882800434807134,0.853500543508917
hicp_yoy,binpre12_7,-10,-0.253464437051492,0.444592642569565,0.568606562588702,31,0.763268272558925,0.704085340698656
hicp_yoy,bint0,0,1.03704673528911,0.366083169347191,0.00461397488101605,31,0.763268272558925,0.704085340698656
hicp_yoy,binpost1_6,3,1.47046001592734,0.672362174560635,0.0287420961971156,31,0.763268272558925,0.704085340698656
hicp_yoy,binpost7_12,9,0.954192844439993,0.98151496500804,0.330969306531494,31,0.763268272558925,0.704085340698656
hicp_yoy,binpost13_18,15,0.0575868324897156,1.55225703019858,0.970406249698707,31,0.763268272558925,0.704085340698656
imports_world_meur,binpre12_7,-10,221.848095238099,260.502003778051,0.394426359432167,31,0.832569304727031,0.790711630908789
imports_world_meur,bint0,0,-617.626666666671,191.021431684268,0.0012237555256584,31,0.832569304727031,0.790711630908789
imports_world_meur,binpost1_6,3,-1005.62000000001,296.520878097367,0.000695373087993588,31,0.832569304727031,0.790711630908789
imports_world_meur,binpost7_12,9,-347.96809523811,461.114732710042,0.450474812852545,31,0.832569304727031,0.790711630908789
imports_world_meur,binpost13_18,15,57.4171428571217,742.061534554768,0.938325087158216,31,0.832569304727031,0.790711630908789
log_exp,binpre12_7,-10,-0.0523083615246132,0.0482401795926116,0.27821770359351,31,0.232918668089464,0.0411483351118295
log_exp,bint0,0,0.0777598105563978,0.0243272374119814,0.00139149514498603,31,0.232918668089464,0.0411483351118295
log_exp,binpost1_6,3,0.105265210916279,0.067069743500248,0.116534088294641,31,0.232918668089464,0.0411483351118295
log_exp,binpost7_12,9,0.157505486593171,0.0917366903528108,0.0859919411393046,31,0.232918668089464,0.0411483351118295
log_exp,binpost13_18,15,0.247576213388484,0.132334824219867,0.0613683816502294,31,0.232918668089464,0.0411483351118295
log_imp,binpre12_7,-10,-0.0509148878007025,0.0475204947950081,0.283976091284343,31,0.300256756800615,0.125320946000769
log_imp,bint0,0,0.0538845702768342,0.0283337413023352,0.0571997939532884,31,0.300256756800615,0.125320946000769
log_imp,binpost1_6,3,0.110321307227368,0.0757476513173673,0.145273220518396,31,0.300256756800615,0.125320946000769
log_imp,binpost7_12,9,0.112409289258498,0.0975729329665273,0.249298877545422,31,0.300256756800615,0.125320946000769
log_imp,binpost13_18,15,0.190296104130069,0.148596123661144,0.200324957481836,31,0.300256756800615,0.125320946000769
unemp_rate,binpre12_7,-10,-0.106190476190477,0.127143757634498,0.403605066247054,31,0.59920634920635,0.499007936507937
unemp_rate,bint0,0,-0.303333333333332,0.122772863202463,0.0134853742650246,31,0.59920634920635,0.499007936507937
unemp_rate,binpost1_6,3,-0.156666666666664,0.155437553401417,0.313498899157975,31,0.59920634920635,0.499007936507937
unemp_rate,binpost7_12,9,0.382857142857147,0.262752422104869,0.145088160126038,31,0.59920634920635,0.499007936507937
unemp_rate,binpost13_18,15,0.489047619047624,0.343490005032174,0.154515714381496,31,0.59920634920635,0.499007936507937
