outcome,label,beta,se,p,sort_idx,r2,ar2,bp_p
hicp_yoy,-12,0.118490664010307,,,-12,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-11,-0.301207187965848,,,-11,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-10,0.284606119974873,,,-10,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-9,-0.415808686573293,4.51195088402978e-16,0,-9,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-8,-1.10026544969681,,,-8,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-7,-1.32987611389565,9.02390176805955e-16,0,-7,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-6,-1.2571009632959,,,-6,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-5,-1.08717150436528,6.38086213295619e-16,0,-5,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-4,-0.665820383034733,4.51195088402978e-16,0,-4,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-3,-1.08057573050053,,,-3,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-2,-0.766052567396392,6.38086213295619e-16,0,-2,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,-1,0,0,1,-1,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,0,0.622029455152864,,,0,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,1,1.2738135194536,4.51195088402978e-16,0,1,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,2,1.29283919854441,,,2,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,3,2.38878019830022,,,3,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,4,2.89491600288814,,,4,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,5,3.34934690482091,,,5,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,6,2.62993916291687,,,6,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,7,3.16038184805605,,,7,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,8,-0.0185507919056477,9.02390176805955e-16,0,8,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,9,1.03164923779904,,,9,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,10,0.657464105909189,,,10,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,11,2.90197722665471,,,11,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,12,1.91627435197508,,,12,0.967527397916315,0.805164387497892,0.999524218421493
hicp_yoy,Post_Tail,-0.723385507775946,0.594314193446388,0.223536917037299,999,0.967527397916315,0.805164387497892,0.999524218421493
unemp_rate,-12,0.200000000000001,,,-12,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-11,0.3,,,-11,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-10,0.400000000000002,,,-10,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-9,0.299999999999999,7.97607766619523e-17,0,-9,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-8,-0.1,,,-8,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-7,-0.0999999999999983,1.59521553323905e-16,0,-7,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-6,0.2,,,-6,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-5,1.27879468928796e-15,1.12798772100744e-16,8.60872302657478e-30,-5,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-4,6.74010139698294e-17,7.97607766619523e-17,0.398088735371563,-4,0.962896469180131,0.777378815080789,0.868954447993399
unemp_rate,-3,-0.199999999999998,7.97607766619523e-17,0,-3,0.962896469180131,0.777378815080789,0.868954447993399
