outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,-302.089904761889,515.027267245529,0.557505109213706,31,0.832356908463306,0.790446135579132
exports_world_meur,bint0,0,-548.825333333343,304.778971187313,0.0717450863089225,31,0.832356908463306,0.790446135579132
exports_world_meur,binpost1_6,3,-655.550666666687,573.703776198818,0.253178111314917,31,0.832356908463306,0.790446135579132
exports_world_meur,binpost7_12,9,-1218.4607619048,916.017451617398,0.18346160866803,31,0.832356908463306,0.790446135579132
exports_world_meur,binpost13_18,15,-729.737523809579,1369.78524960646,0.594214517966847,31,0.832356908463306,0.790446135579132
hicp,binpre12_7,-10,1.1192761904762,0.724288760563681,0.122262777523492,31,0.908893659005279,0.886117073756599
hicp,bint0,0,-0.425133333333352,0.487262487263647,0.382939234555279,31,0.908893659005279,0.886117073756599
hicp,binpost1_6,3,-1.59693333333336,0.845942827815915,0.0590587647038624,31,0.908893659005279,0.886117073756599
hicp,binpost7_12,9,-2.6345428571429,1.23014395863656,0.0322213265511016,31,0.908893659005279,0.886117073756599
hicp,binpost13_18,15,-0.495485714285772,2.07781331907461,0.811520472866484,31,0.908893659005279,0.886117073756599
hicp_yoy,binpre12_7,-10,0.252588207412189,0.646815140170884,0.696158974121461,31,0.784488545028182,0.730610681285227
hicp_yoy,bint0,0,-0.538015876330483,0.483603644816332,0.265917168775002,31,0.784488545028182,0.730610681285227
hicp_yoy,binpost1_6,3,-1.63160530917377,0.934134362563402,0.0806981567213208,31,0.784488545028182,0.730610681285227
hicp_yoy,binpost7_12,9,-1.93581609773051,1.28196569874658,0.131033891770159,31,0.784488545028182,0.730610681285227
hicp_yoy,binpost13_18,15,0.370833808006025,2.10795340228964,0.860355806692298,31,0.784488545028182,0.730610681285227
imports_world_meur,binpre12_7,-10,218.962952380958,263.178296751444,0.405411926815298,31,0.953429287455739,0.941786609319674
imports_world_meur,bint0,0,-195.652000000006,189.866033889053,0.302787579430642,31,0.953429287455739,0.941786609319674
imports_world_meur,binpost1_6,3,224.445999999988,343.313669591046,0.513264084507784,31,0.953429287455739,0.941786609319674
imports_world_meur,binpost7_12,9,-14.2669523809755,561.197762664678,0.979718103419382,31,0.953429287455739,0.941786609319674
imports_world_meur,binpost13_18,15,959.853428571394,850.116157921292,0.258861965275223,31,0.953429287455739,0.941786609319674
log_exp,binpre12_7,-10,0.0750192734088562,0.029874658530481,0.0120343975750156,31,0.239487486715457,0.0493593583943215
log_exp,bint0,0,-0.0203067249459044,0.0248488156931015,0.413807870605968,31,0.239487486715457,0.0493593583943215
log_exp,binpost1_6,3,0.00397861007112412,0.0357328358211162,0.911344160081921,31,0.239487486715457,0.0493593583943215
log_exp,binpost7_12,9,-0.0325365428533872,0.0614803897336743,0.596654073934708,31,0.239487486715457,0.0493593583943215
log_exp,binpost13_18,15,-0.0178987209829303,0.0799157042660664,0.822780639998921,31,0.239487486715457,0.0493593583943215
log_imp,binpre12_7,-10,0.0872688504500986,0.0326877437268302,0.00759025779735675,31,0.27504778920947,0.093809736511837
log_imp,bint0,0,-0.0148584189227716,0.0190333100095622,0.43500635217556,31,0.27504778920947,0.093809736511837
log_imp,binpost1_6,3,0.0183885667845884,0.0354308346692244,0.603761457845202,31,0.27504778920947,0.093809736511837
log_imp,binpost7_12,9,-0.0188924266091492,0.0677170339746326,0.78025191766258,31,0.27504778920947,0.093809736511837
log_imp,binpost13_18,15,0.000607049322101303,0.0890380162699681,0.994560171602405,31,0.27504778920947,0.093809736511837
unemp_rate,binpre12_7,-10,0.0826666666666673,0.190327816441892,0.664042770811352,31,0.457204835237623,0.321506044047028
unemp_rate,bint0,0,-0.00933333333333448,0.0935831209896883,0.920556233678075,31,0.457204835237623,0.321506044047028
unemp_rate,binpost1_6,3,-0.16866666666667,0.195251788157425,0.387674772304178,31,0.457204835237623,0.321506044047028
unemp_rate,binpost7_12,9,-0.584666666666673,0.307242761579694,0.0570474718083393,31,0.457204835237623,0.321506044047028
unemp_rate,binpost13_18,15,-0.484000000000009,0.447202872450003,0.279126863442612,31,0.457204835237623,0.321506044047028
