outcome,bin,tau,beta,se,p,n,r2,ar2
exports_world_meur,binpre12_7,-10,638.672797916838,516.238920572324,0.216025779375856,31,0.906737819591462,0.878353677727994
exports_world_meur,bint0,0,84.9179259752837,259.910708244721,0.743879964728976,31,0.906737819591462,0.878353677727994
exports_world_meur,binpost1_6,3,791.826798932913,585.588493854299,0.176314600082474,31,0.906737819591462,0.878353677727994
exports_world_meur,binpost7_12,9,1338.67649025858,703.235813206367,0.0569628926079304,31,0.906737819591462,0.878353677727994
exports_world_meur,binpost13_18,15,432.203227901318,984.269827182643,0.660581462480968,31,0.906737819591462,0.878353677727994
hicp,binpre12_7,-10,0.625539878372087,0.653528305713516,0.338479765417467,31,0.851377768581813,0.806144915541495
hicp,bint0,0,1.48025797488059,0.42575613249251,0.000507484844459487,31,0.851377768581813,0.806144915541495
hicp,binpost1_6,3,2.18456107591432,0.840785864525658,0.00937037516986284,31,0.851377768581813,0.806144915541495
hicp,binpost7_12,9,-0.194699106051021,1.54276957964516,0.899572798091729,31,0.851377768581813,0.806144915541495
hicp,binpost13_18,15,-2.11849686403379,2.22066936356718,0.34008859078294,31,0.851377768581813,0.806144915541495
hicp_yoy,binpre12_7,-10,0.409701445987331,0.80086718079532,0.608950393139588,31,0.752215530988053,0.676802866506156
hicp_yoy,bint0,0,1.36956870471857,0.499941685548486,0.00615407813900222,31,0.752215530988053,0.676802866506156
hicp_yoy,binpost1_6,3,2.96224482574163,1.03644786438603,0.00426220809867732,31,0.752215530988053,0.676802866506156
hicp_yoy,binpost7_12,9,2.06227144570558,1.41167564916312,0.144051735379518,31,0.752215530988053,0.676802866506156
hicp_yoy,binpost13_18,15,-0.53976640560004,1.98337653424642,0.785510375261391,31,0.752215530988053,0.676802866506156
imports_world_meur,binpre12_7,-10,128.065160767934,398.923412809296,0.748189978678482,31,0.878845408850842,0.841972272414142
imports_world_meur,bint0,0,509.976693342177,191.823646385541,0.00784729234737895,31,0.878845408850842,0.841972272414142
imports_world_meur,binpost1_6,3,1582.96809047452,516.113095294601,0.00216149873928821,31,0.878845408850842,0.841972272414142
imports_world_meur,binpost7_12,9,1965.5809301512,704.888963485654,0.00529531984129778,31,0.878845408850842,0.841972272414142
imports_world_meur,binpost13_18,15,1949.55925721259,1091.22807967944,0.0740064349618069,31,0.878845408850842,0.841972272414142
log_exp,binpre12_7,-10,-0.00918047401048001,0.0430551816964546,0.831150873566488,31,0.408131359626811,0.227997425600189
log_exp,bint0,0,-0.014111536656123,0.0204505111987451,0.490173156437268,31,0.408131359626811,0.227997425600189
log_exp,binpost1_6,3,0.0350909723766401,0.0320164918848499,0.273066510182665,31,0.408131359626811,0.227997425600189
log_exp,binpost7_12,9,0.0729951598187945,0.0420772979872746,0.0827784963758875,31,0.408131359626811,0.227997425600189
log_exp,binpost13_18,15,0.0304613240309649,0.0479473203236053,0.525227450241897,31,0.408131359626811,0.227997425600189
log_imp,binpre12_7,-10,-0.0372591612385899,0.042110062534415,0.376262230440076,31,0.329673437897826,0.125661005953686
log_imp,bint0,0,-0.00411956265989868,0.0239531374739852,0.863449902110529,31,0.329673437897826,0.125661005953686
log_imp,binpost1_6,3,0.0639095472270118,0.0364653945405534,0.0796692934284704,31,0.329673437897826,0.125661005953686
log_imp,binpost7_12,9,0.0929694191400829,0.0497432148960761,0.0616246309865463,31,0.329673437897826,0.125661005953686
log_imp,binpost13_18,15,0.109473748650159,0.0643362045278506,0.0888325263675495,31,0.329673437897826,0.125661005953686
unemp_rate,binpre12_7,-10,-0.0715590911256763,0.218505792997339,0.74329512837843,31,0.778486035483666,0.711068741935217
unemp_rate,bint0,0,0.313919084139192,0.0805598345814649,9.75044085569044e-05,31,0.778486035483666,0.711068741935217
unemp_rate,binpost1_6,3,0.400014449260917,0.163260803558045,0.0142794305179661,31,0.778486035483666,0.711068741935217
unemp_rate,binpost7_12,9,0.45467060448727,0.250212992624023,0.0691965559986602,31,0.778486035483666,0.711068741935217
unemp_rate,binpost13_18,15,0.507935661093409,0.331165920811108,0.125083788521153,31,0.778486035483666,0.711068741935217
