outcome,tau,beta,se,p
hicp_yoy,-12,4.92633059733681,0,0
hicp_yoy,-11,4.58311169252837,0,0
hicp_yoy,-10,3.72201287530011,0,0
hicp_yoy,-9,3.41193993977746,0,0
hicp_yoy,-8,3.0193544234525,0,0
hicp_yoy,-7,2.58152895953295,0,0
hicp_yoy,-6,2.56575409600771,0,0
hicp_yoy,-5,2.05828121850402,0,0
hicp_yoy,-4,1.97043665706469,0,0
hicp_yoy,-3,1.83436823539065,0,0
hicp_yoy,-2,0.466153709271811,0,0
hicp_yoy,-1,0,0,1
hicp_yoy,0,-1.03494288441555,0,0
hicp_yoy,1,-0.825214965574284,0,0
hicp_yoy,2,0.197024642067633,0,0
hicp_yoy,3,0.0562225159925324,0,0
hicp_yoy,4,0.148715047766989,0,0
hicp_yoy,5,0.27414743608527,0,0
hicp_yoy,6,-0.491080495839913,0,0
hicp_yoy,7,-0.2385556837043,0,0
hicp_yoy,8,-0.135317241828814,0,0
hicp_yoy,9,-0.177821042360282,0,0
hicp_yoy,10,0.314579808425042,0,0
hicp_yoy,11,0.745930373842651,0,0
hicp_yoy,12,0.641272522591363,0,0
hicp_yoy,13,0.717408582611167,0,0
hicp_yoy,14,0.311016120612062,0,0
hicp_yoy,15,0.382687658992453,0,0
hicp_yoy,16,0.490914886141347,0,0
hicp_yoy,17,0.404257520885576,0,0
hicp_yoy,18,0.918566612885984,0,0
unemp_rate,-12,-1.5,0,0
unemp_rate,-11,-1.49999999999999,0,0
unemp_rate,-10,-1.40000000000001,0,0
unemp_rate,-9,-1.6,0,0
unemp_rate,-8,-1.8,0,0
unemp_rate,-7,-0.999999999999997,0,0
unemp_rate,-6,-0.800000000000004,0,0
unemp_rate,-5,-0.600000000000002,0,0
unemp_rate,-4,-0.099999999999998,0,0
unemp_rate,-3,-0.199999999999999,0,0
unemp_rate,-2,-0.200000000000001,0,0
unemp_rate,-1,0,0,1
unemp_rate,0,-0.300000000000003,0,0
unemp_rate,1,-0.400000000000002,0,0
unemp_rate,2,-0.599999999999998,0,0
unemp_rate,3,-0.6,0,0
unemp_rate,4,-0.699999999999999,0,0
unemp_rate,5,-1.2,0,0
unemp_rate,6,-1,0,0
unemp_rate,7,-0.900000000000001,0,0
unemp_rate,8,-1.4,0,0
unemp_rate,9,-1.7,0,0
unemp_rate,10,-2.1,0,0
unemp_rate,11,-2.5,0,0
unemp_rate,12,-2.6,0,0
unemp_rate,13,-2.7,0,0
unemp_rate,14,-3,0,0
unemp_rate,15,-3.1,0,0
unemp_rate,16,-3,0,0
unemp_rate,17,-3.1,0,0
unemp_rate,18,-2.7,0,0
hicp,-12,2.09000000000001,0,0
