outcome,label,beta,se,p,sort_idx
hicp_yoy,Pre_Tail,3.70737974798803,0.602908531222932,7.78954105052872e-10,-999
hicp_yoy,-6,2.56575409600769,4.53060456019689e-08,0,-6
hicp_yoy,-5,2.05828121850402,2.96534381999609e-08,0,-5
hicp_yoy,-4,1.97043665706469,3.84974414131811e-08,0,-4
hicp_yoy,-3,1.83436823539064,,,-3
hicp_yoy,-2,0.466153709271807,5.15540156011847e-08,0,-2
hicp_yoy,-1,0,0,1,-1
hicp_yoy,0,-1.03494288441555,,,0
hicp_yoy,1,-0.825214965574288,2.96893867435308e-08,0,1
hicp_yoy,2,0.197024642067631,,,2
hicp_yoy,3,0.0562225159925293,,,3
hicp_yoy,4,0.148715047766987,4.20670667495021e-08,0,4
hicp_yoy,5,0.274147436085267,2.96893867435308e-08,0,5
hicp_yoy,6,-0.491080495839916,,,6
hicp_yoy,Post_Tail,0.364578343257851,0.199238672582237,0.0672712770709531,999
unemp_rate,Pre_Tail,-1.46666666666667,0.0779078773018616,4.65435092251449e-79,-999
unemp_rate,-6,-0.799999999999998,6.12390626035554e-08,0,-6
unemp_rate,-5,-0.599999999999997,1.59040543833957e-08,0,-5
unemp_rate,-4,-0.0999999999999981,1.51287970315738e-08,0,-4
unemp_rate,-3,-0.199999999999997,1.47785112961663e-08,0,-3
unemp_rate,-2,-0.199999999999998,1.27629637976317e-08,0,-2
unemp_rate,-1,0,0,1,-1
unemp_rate,0,-0.299999999999998,6.16350034521541e-08,0,0
unemp_rate,1,-0.399999999999998,1.56894860255697e-08,0,1
unemp_rate,2,-0.599999999999999,1.65503941754319e-08,0,2
unemp_rate,3,-0.599999999999997,1.47785112961662e-08,0,3
unemp_rate,4,-0.699999999999998,1.38075638877858e-08,0,4
unemp_rate,5,-1.2,1.56894860255696e-08,0,5
unemp_rate,6,-0.999999999999999,6.14094298534957e-08,0,6
unemp_rate,Post_Tail,-2.4,0.4507420579198,1.01201563703267e-07,999
hicp,Pre_Tail,1.68166666666667,0.154557141262134,1.42699703616197e-27,-999
hicp,-6,1.85,,,-6
hicp,-5,1.71,,,-5
hicp,-4,1.15999999999999,,,-4
hicp,-3,0.949999999999999,,,-3
hicp,-2,0.239999999999992,,,-2
hicp,-1,0,0,1,-1
hicp,0,0.980000000000002,,,0
hicp,1,0.999999999999998,,,1
hicp,2,1.45,,,2
hicp,3,1.45,,,3
hicp,4,1.49000000000001,,,4
hicp,5,1.48,,,5
hicp,6,1.19,2.7816035759543e-08,0,6
hicp,Post_Tail,1.21083333333333,0.325412504660062,0.000198499679096843,999
imports_world_meur,Pre_Tail,627,16.8124470775471,2.0685731512535e-304,-999
imports_world_meur,-6,426.199999999998,,,-6
imports_world_meur,-5,362.599999999999,3.14032470979681e-06,0,-5
imports_world_meur,-4,350.9,,,-4
imports_world_meur,-3,674.7,3.30107976951222e-06,0,-3
imports_world_meur,-2,443.2,3.01299489563743e-06,0,-2
imports_world_meur,-1,0,0,1,-1
imports_world_meur,0,-644.300000000001,,,0
imports_world_meur,1,-578.4,,,1
imports_world_meur,2,-508.7,3.30107976951217e-06,0,2
imports_world_meur,3,-463.1,3.30107976951217e-06,0,3
imports_world_meur,4,-326.4,,,4
imports_world_meur,5,-512.1,,,5
imports_world_meur,6,-355.7,3.01299489563739e-06,0,6
imports_world_meur,Post_Tail,53.2499999999999,179.218700544287,0.766372596712112,999
exports_world_meur,Pre_Tail,889.016666666666,21.9226255145702,0,-999
exports_world_meur,-6,930.3,3.37355338717937e-06,0,-6
exports_world_meur,-5,559.599999999999,3.8164913980285e-06,0,-5
exports_world_meur,-4,503.800000000001,3.6856624794734e-06,0,-4
exports_world_meur,-3,373.299999999999,3.67703998442839e-06,0,-3
exports_world_meur,-2,419.2,3.67703998442844e-06,0,-2
exports_world_meur,-1,0,0,1,-1
exports_world_meur,0,-469.3,4.14229427421288e-06,0,0
exports_world_meur,1,-512.3,4.14229427421291e-06,0,1
exports_world_meur,2,-186.499999999999,4.56032681518201e-06,0,2
exports_world_meur,3,-411.9,4.14229427421283e-06,0,3
exports_world_meur,4,-171.1,4.14229427421286e-06,0,4
exports_world_meur,5,-107.5,4.14229427421286e-06,0,5
exports_world_meur,6,33.7000000000002,,,6
exports_world_meur,Post_Tail,238.85,162.653272760669,0.141979021714536,999
log_imp,Pre_Tail,-0.0177814027161329,0.00747645511913991,0.0173917258753702,-999
log_imp,-6,-0.0510583020949902,8.01628277026707e-10,0,-6
log_imp,-5,-0.0408581878292864,6.66295541765788e-10,0,-5
log_imp,-4,-0.0593835224283534,1.4292953089275e-09,0,-4
log_imp,-3,0.00803652325568469,4.90162824645276e-10,0,-3
log_imp,-2,0.00606633610296286,1.2414919257276e-09,0,-2
log_imp,-1,0,0,1,-1
log_imp,0,-0.109817830653958,1.05243590429662e-09,0,0
log_imp,1,-0.053769268337689,8.20938769737692e-10,0,1
log_imp,2,-0.0484947211670548,1.05243590429662e-09,0,2
log_imp,3,-0.021783184973037,8.20938769737689e-10,0,3
log_imp,4,0.00356044539041809,,,4
log_imp,5,-0.0472302143773043,8.20938769737691e-10,0,5
log_imp,6,-0.0113328163619215,1.55198709390099e-09,0,6
log_imp,Post_Tail,-0.0262141229402334,0.00814629585845909,0.00129124126970921,999
log_exp,Pre_Tail,0.00140831985567823,0.00450845564731026,0.754757060646759,-999
log_exp,-6,-2.67743190408586e-05,,,-6
log_exp,-5,-0.0421312695390642,,,-5
log_exp,-4,-0.0571534578617551,,,-4
log_exp,-3,-0.0524866663197424,,,-3
log_exp,-2,-0.000206273416100712,,,-2
log_exp,-1,0,0,1,-1
log_exp,0,-0.0443761723914111,,,0
log_exp,1,-0.0510775415373245,,,1
log_exp,2,-0.0103145257706795,,,2
log_exp,3,-0.0669160528247586,,,3
log_exp,4,0.000100169508485335,,,4
log_exp,5,0.00479994242373579,,,5
log_exp,6,0.0316103650530267,,,6
log_exp,Post_Tail,-0.0346913397692615,0.00610553231848012,1.33166268587001e-08,999
