outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,-2.03444064751711,1.25534852350308,0.105099549429132
hicp_yoy,bint0,0,3.08383100150328,0.681128811236115,5.96771828569867e-06
hicp_yoy,binpost1_6,3,1.66323402264389,0.94765253251414,0.0792405688156262
hicp_yoy,binpost7_12,9,-0.191988078867126,1.84596609336798,0.917166079113308
hicp_yoy,binpost13_18,15,-0.997063908025614,2.53735795803889,0.694353762654357
unemp_rate,binpre12_7,-10,0.637827774526701,0.212996608020584,0.00274855156316382
unemp_rate,bint0,0,0.0559287273769798,0.198370980443352,0.777989466748503
unemp_rate,binpost1_6,3,0.215607780864824,0.355891217783569,0.544630996922199
unemp_rate,binpost7_12,9,1.03050604346933,0.620849685348862,0.0969482968756487
unemp_rate,binpost13_18,15,0.317004267793716,0.789214168313071,0.687926334293663
hicp,binpre12_7,-10,-1.05480913466295,0.483509640835774,0.0291414346289124
hicp,bint0,0,2.10598677280676,0.234015003166764,2.27023911959046e-19
hicp,binpost1_6,3,1.41843616701324,0.438998522931245,0.00123326543851
hicp,binpost7_12,9,0.39871488803854,1.01074970062356,0.693230819345669
hicp,binpost13_18,15,0.847743648561297,1.15647681898965,0.463534095825223
imports_world_meur,binpre12_7,-10,-507.194200377741,218.622173885436,0.0203431645604373
imports_world_meur,bint0,0,479.969897750349,132.241479322726,0.000283975318364592
imports_world_meur,binpost1_6,3,456.200662994673,151.324742573287,0.00257222559671591
imports_world_meur,binpost7_12,9,250.15765036851,199.851751561974,0.210673339872801
imports_world_meur,binpost13_18,15,-134.86159245041,398.256073248935,0.734888217989232
exports_world_meur,binpre12_7,-10,-428.050746637952,225.691848591274,0.0578786516529873
exports_world_meur,bint0,0,406.978899374639,150.654597784122,0.00690474566803721
exports_world_meur,binpost1_6,3,335.466543456958,160.283828814437,0.0363533374826619
exports_world_meur,binpost7_12,9,-323.852400836966,241.639481109577,0.180170689979044
exports_world_meur,binpost13_18,15,-709.977631144915,409.801323877329,0.0831859499213499
log_imp,binpre12_7,-10,-0.0298376452584463,0.020371095546768,0.143001423476101
log_imp,bint0,0,0.0160656417583184,0.0163153431765257,0.324773761634252
log_imp,binpost1_6,3,0.0177453019540547,0.0233645990381677,0.447556355292854
log_imp,binpost7_12,9,0.0509683510702494,0.048031020594103,0.288619528445928
log_imp,binpost13_18,15,0.0845415072604009,0.0567196940388609,0.136089095425553
log_exp,binpre12_7,-10,0.00749358847373229,0.0170537806749261,0.660365046609978
log_exp,bint0,0,-0.0147872684509921,0.0119428374982725,0.215652866841456
log_exp,binpost1_6,3,-0.0314424101195839,0.0224128692977948,0.160654701165568
log_exp,binpost7_12,9,-0.0772915890310018,0.0369456414149332,0.036435350778295
log_exp,binpost13_18,15,-0.0754762473967744,0.0460138529877663,0.100944050644408
