outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,0.116490085156793,0.289732483341088,0.687639252831104
hicp_yoy,bint0,0,0.108872046341301,0.28512529872408,0.70258056143599
hicp_yoy,binpost1_6,3,-0.431991014850143,0.416188640592012,0.299284367141068
hicp_yoy,binpost7_12,9,-0.755619690315978,0.504066247129527,0.133861082026557
hicp_yoy,binpost13_18,15,-0.52764440251873,0.685491335252994,0.441459069054413
unemp_rate,binpre12_7,-10,-0.193414650534709,0.28641204230061,0.499483856868254
unemp_rate,bint0,0,-0.0128934206106368,0.337409912656325,0.969517913579974
unemp_rate,binpost1_6,3,-0.125652349752825,0.470322256098202,0.789344244125207
unemp_rate,binpost7_12,9,-0.115717346511736,0.59459964850295,0.845695233693004
unemp_rate,binpost13_18,15,-0.258845142530323,0.697705205065807,0.710641255841474
hicp,binpre12_7,-10,0.448653119407785,0.220391169956371,0.0417792058787903
hicp,bint0,0,-0.296465012555227,0.171357055459644,0.0836122320854786
hicp,binpost1_6,3,-0.542178873588679,0.216105095431425,0.0121119187349842
hicp,binpost7_12,9,-0.873556772340985,0.394799309445453,0.0269210719526063
hicp,binpost13_18,15,-1.03130362855134,0.640812779054186,0.1075358817772
imports_world_meur,binpre12_7,-10,-68.38670995832,187.846082231974,0.715815331208675
imports_world_meur,bint0,0,-203.15627374041,152.170541478628,0.181857848225721
imports_world_meur,binpost1_6,3,-142.258076522184,220.2711587337,0.518388415917385
imports_world_meur,binpost7_12,9,-64.5106733162229,337.941446566404,0.848609385671336
imports_world_meur,binpost13_18,15,-622.850621745854,440.144080683549,0.157037357795118
exports_world_meur,binpre12_7,-10,-250.630745722263,111.825509340408,0.0250088304170627
exports_world_meur,bint0,0,66.5790625011767,152.249415925917,0.661891923983229
exports_world_meur,binpost1_6,3,465.453128477607,139.099268803158,0.000819290741605755
exports_world_meur,binpost7_12,9,-194.310193190185,313.136489708786,0.534909734802994
exports_world_meur,binpost13_18,15,-1732.87355858714,557.411532328114,0.00187857285282602
log_imp,binpre12_7,-10,-0.0241243755819291,0.0288885252104889,0.40366982228435
log_imp,bint0,0,-0.0656727420620339,0.0340099789871671,0.0534849700211899
log_imp,binpost1_6,3,-0.00849441766709272,0.0430601508452017,0.843617313840611
log_imp,binpost7_12,9,0.0730975490096753,0.0577968415483603,0.205967203757503
log_imp,binpost13_18,15,0.269763506203401,0.084957194089383,0.00149688175000487
log_exp,binpre12_7,-10,-0.0422564672529384,0.0292779105658896,0.148939259996515
log_exp,bint0,0,-0.0648747364482562,0.0437503659250931,0.138117266885749
log_exp,binpost1_6,3,0.0363821052867596,0.0508131318461881,0.473992529042839
log_exp,binpost7_12,9,0.0707960027352298,0.0617696187729861,0.251741436049191
log_exp,binpost13_18,15,0.224176116528612,0.0880197230859747,0.0108689230153977
