outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,0.187428744817926,0.238917732253874,0.432752222552912
hicp_yoy,bint0,0,1.08620366260445,0.732237798899388,0.137967401669887
hicp_yoy,binpost1_6,3,0.665590324454218,0.385846102621885,0.0845247647745372
hicp_yoy,binpost7_12,9,0.438596126686521,0.651789559877731,0.501004145812687
hicp_yoy,binpost13_18,15,0.183628818222871,1.05895918711379,0.862333094928368
unemp_rate,binpre12_7,-10,-0.109947453255643,0.180497281212177,0.542434071973753
unemp_rate,bint0,0,0.877093010402729,0.28517352313385,0.00210046558611592
unemp_rate,binpost1_6,3,0.335250362478106,0.167102222814588,0.0448286066151359
unemp_rate,binpost7_12,9,0.875847674413783,0.228690779927626,0.000128229844904473
unemp_rate,binpost13_18,15,1.0106663202324,0.291305694086976,0.000521553256411309
hicp,binpre12_7,-10,0.826010337788903,0.16781626746613,8.56155186596793e-07
hicp,bint0,0,1.20259666510559,0.835247342829506,0.149921436185926
hicp,binpost1_6,3,0.133059647362377,0.403339047836569,0.741479091480656
hicp,binpost7_12,9,-0.405032531286416,0.51203420192434,0.428928631775567
hicp,binpost13_18,15,-0.57964998340245,0.68205836678912,0.395406301875163
imports_world_meur,binpre12_7,-10,-192.634303181002,113.871647564273,0.0907071471542008
imports_world_meur,bint0,0,334.437754786868,670.300482623065,0.617823722065482
imports_world_meur,binpost1_6,3,-459.159946897287,228.521885669357,0.0445095384107279
imports_world_meur,binpost7_12,9,44.2201707322833,337.066295494348,0.895623965772029
imports_world_meur,binpost13_18,15,52.1008068034396,478.608931670818,0.913314463950264
exports_world_meur,binpre12_7,-10,412.667874250254,267.097936433462,0.122344848418233
exports_world_meur,bint0,0,985.067453712624,771.397842799321,0.201605721711396
exports_world_meur,binpost1_6,3,-1044.78459702276,380.65020879903,0.00605594647825807
exports_world_meur,binpost7_12,9,561.971870918284,460.257591463727,0.222088198348926
exports_world_meur,binpost13_18,15,988.102031572185,599.284544062328,0.0991880420668748
log_imp,binpre12_7,-10,-0.0456257384881033,0.0221662223088394,0.0395570029865618
log_imp,bint0,0,-0.0965364470870046,0.0978074270343281,0.323640049271343
log_imp,binpost1_6,3,0.164777273648617,0.0297499203425341,3.04643853490831e-08
log_imp,binpost7_12,9,0.146560161292905,0.0431292981683648,0.000678412746843423
log_imp,binpost13_18,15,0.191813162893256,0.0591066599646868,0.00117366556127133
log_exp,binpre12_7,-10,0.00229048444385587,0.0155496969008934,0.882894517277189
log_exp,bint0,0,-0.0972667523519391,0.078735420084935,0.216695778737559
log_exp,binpost1_6,3,0.140184277577272,0.027200900259164,2.55446614394142e-07
log_exp,binpost7_12,9,0.189064119300114,0.0375886833967816,4.90953598473402e-07
log_exp,binpost13_18,15,0.293768659400942,0.0464479321975989,2.5374545778065e-10
