outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,-0.31315164744908,0.476860179250348,0.511377114758276
hicp_yoy,bint0,0,1.61413975447797,1.27467241641486,0.20539949955246
hicp_yoy,binpost1_6,3,1.62306117747334,0.77141041286822,0.0353769013783314
hicp_yoy,binpost7_12,9,1.1056483541702,1.08965060811706,0.31025765775084
hicp_yoy,binpost13_18,15,0.194967434706341,1.64075504916157,0.905411724655912
unemp_rate,binpre12_7,-10,-0.192263028233264,0.150011398169506,0.199963300217458
unemp_rate,bint0,0,0.528869555640499,0.420464623095437,0.208456221370081
unemp_rate,binpost1_6,3,0.0633933986549461,0.215103420348168,0.768214465713617
unemp_rate,binpost7_12,9,0.60126510926374,0.302141859727015,0.0465899115936835
unemp_rate,binpost13_18,15,0.687158721161346,0.381398022012316,0.0715951338147634
hicp,binpre12_7,-10,0.405187827256292,0.346653191177038,0.242461461961369
hicp,bint0,0,1.32081771223263,1.06055109242857,0.212982196111046
hicp,binpost1_6,3,0.616668635625557,0.565123489325663,0.275180307422339
hicp,binpost7_12,9,-0.131866680651038,0.776220941852897,0.865102213240212
hicp,binpost13_18,15,-0.813638841716926,1.07325270282602,0.448387791229599
imports_world_meur,binpre12_7,-10,125.816065402644,234.108802205612,0.590973658384409
imports_world_meur,bint0,0,310.870638994248,763.40847311942,0.683850799766267
imports_world_meur,binpost1_6,3,-760.096726238451,363.996235699585,0.0367798501234964
imports_world_meur,binpost7_12,9,-104.288085194575,506.685516256958,0.836928323130648
imports_world_meur,binpost13_18,15,278.451733064954,753.25249842391,0.711631471942613
exports_world_meur,binpre12_7,-10,-11.5951191568055,224.862114156325,0.958874938786371
exports_world_meur,bint0,0,1056.30927576578,934.90440334672,0.258536038549003
exports_world_meur,binpost1_6,3,-604.535650210184,336.316962900809,0.0722534912147108
exports_world_meur,binpost7_12,9,795.020064451096,496.774563850704,0.109517884951017
exports_world_meur,binpost13_18,15,716.34069763214,824.49160793504,0.384941678176682
log_imp,binpre12_7,-10,-0.0245027568959161,0.0326049903178976,0.452349832564092
log_imp,bint0,0,-0.201484314707452,0.161218458496872,0.211387381600279
log_imp,binpost1_6,3,0.0427939118586213,0.0652497642695218,0.511922081995464
log_imp,binpost7_12,9,0.0453888551889749,0.0824762563099757,0.582095570076467
log_imp,binpost13_18,15,0.129503944044958,0.125015193059282,0.300246164406338
log_exp,binpre12_7,-10,-0.0198195809382222,0.0264910187347524,0.454362280661323
log_exp,bint0,0,-0.236361897485807,0.11892815693112,0.0468742905984609
log_exp,binpost1_6,3,0.022201760276327,0.0526591997000447,0.673308110425705
log_exp,binpost7_12,9,0.0750656340444002,0.0716964967005587,0.295103425058657
log_exp,binpost13_18,15,0.172797576348638,0.0990839070002712,0.0811674626066195
