outcome,label,beta,se,p,sort_idx
hicp_yoy,Pre_Tail,-0.857262618161274,0.10230963337851,5.33340836288915e-17,-999
hicp_yoy,-6,-1.10410425593066,1.98528966998003e-08,0,-6
hicp_yoy,-5,-0.833695269258317,6.21204067940885e-08,0,-5
hicp_yoy,-4,-0.758909675386145,1.8780830860944e-08,0,-4
hicp_yoy,-3,-0.564095229406437,2.0394307050049e-08,0,-3
hicp_yoy,-2,-0.0821244296328248,1.89846413929898e-08,0,-2
hicp_yoy,-1,0,0,1,-1
hicp_yoy,0,0.507100558538242,,,0
hicp_yoy,1,0.521348490891958,2.0394307050049e-08,0,1
hicp_yoy,2,0.37857626223665,6.34362088249561e-08,0,2
hicp_yoy,3,0.95180287832852,2.03943070500489e-08,0,3
hicp_yoy,4,1.19190646781122,2.0394307050049e-08,0,4
hicp_yoy,5,1.43711697340911,2.0394307050049e-08,0,5
hicp_yoy,6,1.32558376149054,1.89846413929897e-08,0,6
hicp_yoy,Post_Tail,0.073117351659928,0.388181077965589,0.850595334573723,999
unemp_rate,Pre_Tail,0.549999999999999,0.0568257570707751,3.71373617896263e-22,-999
unemp_rate,-6,0.4,1.51971273938437e-08,0,-6
unemp_rate,-5,0.699999999999999,1.31326854720983e-08,0,-5
unemp_rate,-4,0.799999999999999,1.47398762196543e-08,0,-4
unemp_rate,-3,0.399999999999999,1.52150861932855e-08,0,-3
unemp_rate,-2,0.299999999999999,9.62917285081961e-09,0,-2
unemp_rate,-1,0,0,1,-1
unemp_rate,0,-3.36380070575956e-16,1.52150861932855e-08,0.999999982360109,0
unemp_rate,1,-0.1,1.09761808206038e-08,0,1
unemp_rate,2,0.1,1.15911316623704e-08,0,2
unemp_rate,3,0.1,1.52150861932855e-08,0,3
unemp_rate,4,0.2,1.03246674328414e-08,0,4
unemp_rate,5,-0.2,1.09761808206038e-08,0,5
unemp_rate,6,-4.3204983063103e-16,1.47519849532628e-08,0.999999976631898,6
unemp_rate,Post_Tail,0.275,0.0739895034081414,0.000201807202385672,999
hicp,Pre_Tail,-0.993333333333329,0.161963561383573,8.62009566077285e-10,-999
hicp,-6,-1.39999999999999,,,-6
hicp,-5,-0.799999999999996,,,-5
hicp,-4,-0.879999999999995,,,-4
hicp,-3,-0.519999999999995,,,-3
hicp,-2,-0.159999999999996,,,-2
hicp,-1,0,0,1,-1
hicp,0,0.0300000000000011,,,0
hicp,1,-0.0900000000000039,,,1
hicp,2,0.0900000000000037,,,2
hicp,3,0.810000000000016,,,3
hicp,4,1.33,,,4
hicp,5,1.46000000000001,,,5
hicp,6,0.719999999999999,,,6
hicp,Post_Tail,0.989166666666673,0.157467014836368,3.34806891138188e-10,999
imports_world_meur,Pre_Tail,250.58333333333,33.5107531226405,7.56350450583474e-14,-999
imports_world_meur,-6,344.799999999997,7.40763558014556e-06,0,-6
imports_world_meur,-5,592.599999999997,4.3965723609488e-05,0,-5
imports_world_meur,-4,335.699999999998,6.38143132445753e-06,0,-4
imports_world_meur,-3,557.499999999996,6.85133758390452e-06,0,-3
