term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
rel::-48:treated,1.47720006132585,,,,,,hicp_yoy
rel::-47:treated,1.06463930905462,,,,,,hicp_yoy
rel::-46:treated,0.920503222260312,,,,,,hicp_yoy
rel::-45:treated,1.0241305028733,,,,,,hicp_yoy
rel::-44:treated,1.30629588753066,,,,,,hicp_yoy
rel::-43:treated,1.14470210037748,,,,,,hicp_yoy
rel::-42:treated,0.517881017507774,,,,,,hicp_yoy
rel::-41:treated,0.532822030000403,,,,,,hicp_yoy
rel::-40:treated,0.0330118416541588,,,,,,hicp_yoy
rel::-39:treated,0.879988491906641,,,,,,hicp_yoy
rel::-38:treated,1.29390370363109,,,,,,hicp_yoy
rel::-37:treated,1.59599133019174,,,,,,hicp_yoy
rel::-36:treated,1.35894197316441,,,,,,hicp_yoy
rel::-35:treated,1.55056504260575,,,,,,hicp_yoy
rel::-34:treated,1.72520743258711,,,,,,hicp_yoy
rel::-33:treated,1.81985219263199,,,,,,hicp_yoy
rel::-32:treated,1.71368882961756,,,,,,hicp_yoy
rel::-31:treated,1.95844182094161,,,,,,hicp_yoy
rel::-30:treated,2.42331982989431,,,,,,hicp_yoy
rel::-29:treated,2.17143285185566,,,,,,hicp_yoy
rel::-28:treated,2.0313895096044,,,,,,hicp_yoy
rel::-27:treated,2.01998070756782,,,,,,hicp_yoy
rel::-26:treated,2.42654888881961,,,,,,hicp_yoy
rel::-25:treated,1.95817391509153,,,,,,hicp_yoy
rel::-24:treated,0.662934853360528,,,,,,hicp_yoy
rel::-23:treated,0.189744214844173,,,,,,hicp_yoy
rel::-22:treated,-0.248801633039023,,,,,,hicp_yoy
rel::-21:treated,-0.756172224387791,,,,,,hicp_yoy
rel::-20:treated,-1.10275551709751,,,,,,hicp_yoy
rel::-19:treated,-1.41207472094847,,,,,,hicp_yoy
rel::-18:treated,-1.63816672877918,,,,,,hicp_yoy
rel::-17:treated,-1.61890381202921,,,,,,hicp_yoy
rel::-16:treated,-1.37595957652698,,,,,,hicp_yoy
rel::-15:treated,-1.79320138666463,,,,,,hicp_yoy
rel::-14:treated,-3.13836265036783,,,,,,hicp_yoy
rel::-13:treated,-3.15836122774418,,,,,,hicp_yoy
rel::-12:treated,-4.92633059733701,,,,,,hicp_yoy
rel::-11:treated,-4.58311169252857,,,,,,hicp_yoy
rel::-10:treated,-3.72201287530031,,,,,,hicp_yoy
rel::-9:treated,-3.41193993977766,,,,,,hicp_yoy
rel::-8:treated,-3.01935442345271,,,,,,hicp_yoy
rel::-7:treated,-2.58152895953315,,,,,,hicp_yoy
rel::-6:treated,-2.56575409600788,,,,,,hicp_yoy
rel::-5:treated,-2.05828121850422,,,,,,hicp_yoy
rel::-4:treated,-1.97043665706487,,,,,,hicp_yoy
rel::-3:treated,-1.83436823539085,,,,,,hicp_yoy
rel::-2:treated,-0.466153709271992,,,,,,hicp_yoy
rel::0:treated,1.03494288441539,,,,,,hicp_yoy
rel::1:treated,0.825214965574062,,,,,,hicp_yoy
rel::2:treated,-0.197024642067792,,,,,,hicp_yoy
rel::3:treated,-0.0562225159927028,,,,,,hicp_yoy
rel::4:treated,-0.148715047767197,,,,,,hicp_yoy
rel::5:treated,-0.27414743608548,,,,,,hicp_yoy
rel::6:treated,0.491080495839752,,,,,,hicp_yoy
rel::7:treated,0.238555683704134,,,,,,hicp_yoy
rel::8:treated,0.135317241828629,,,,,,hicp_yoy
rel::9:treated,0.177821042360112,,,,,,hicp_yoy
rel::10:treated,-0.314579808425267,,,,,,hicp_yoy
rel::11:treated,-0.745930373842839,,,,,,hicp_yoy
rel::12:treated,-0.641272522591551,,,,,,hicp_yoy
rel::13:treated,-0.717408582611331,,,,,,hicp_yoy
rel::14:treated,-0.31101612061225,,,,,,hicp_yoy
rel::15:treated,-0.382687658992627,,,,,,hicp_yoy
rel::16:treated,-0.490914886141572,,,,,,hicp_yoy
rel::17:treated,-0.404257520885751,,,,,,hicp_yoy
rel::18:treated,-0.918566612886124,,,,,,hicp_yoy
rel::19:treated,-0.70992425950539,,,,,,hicp_yoy
rel::20:treated,-1.01447382064984,,,,,,hicp_yoy
rel::21:treated,-0.930335271332061,,,,,,hicp_yoy
rel::22:treated,-1.15308763297469,,,,,,hicp_yoy
rel::23:treated,-1.28271450777587,,,,,,hicp_yoy
rel::24:treated,1.04040147908039,,,,,,hicp_yoy
rel::25:treated,1.31623396982219,,,,,,hicp_yoy
rel::26:treated,1.70885324955011,,,,,,hicp_yoy
rel::27:treated,2.04981828970042,,,,,,hicp_yoy
rel::28:treated,2.00035852379613,,,,,,hicp_yoy
rel::29:treated,1.84735623946108,,,,,,hicp_yoy
rel::30:treated,1.65108790353151,,,,,,hicp_yoy
rel::31:treated,1.78325706833551,,,,,,hicp_yoy
rel::32:treated,1.97665655792195,,,,,,hicp_yoy
rel::33:treated,1.62326083552461,,,,,,hicp_yoy
rel::34:treated,1.65016562394184,,,,,,hicp_yoy
rel::35:treated,1.55529856083685,,,,,,hicp_yoy
rel::36:treated,-0.0290201956008003,,,,,,hicp_yoy
rel::37:treated,-0.184935218381773,,,,,,hicp_yoy
rel::38:treated,-0.483353850757842,,,,,,hicp_yoy
rel::39:treated,-0.501142435774263,,,,,,hicp_yoy
rel::40:treated,-0.395257884826083,,,,,,hicp_yoy
rel::41:treated,-0.311491227944212,,,,,,hicp_yoy
rel::42:treated,0.229148012213854,,,,,,hicp_yoy
rel::43:treated,0.0419596381522431,,,,,,hicp_yoy
rel::44:treated,0.0381240741982437,,,,,,hicp_yoy
rel::45:treated,0.119461931667041,,,,,,hicp_yoy
rel::46:treated,0.413501808137551,,,,,,hicp_yoy
rel::47:treated,0.727858747981253,,,,,,hicp_yoy
rel::48:treated,0.322882793884687,,,,,,hicp_yoy
rel::49:treated,0.271563818664117,,,,,,hicp_yoy
rel::50:treated,0.179691622158172,,,,,,hicp_yoy
rel::51:treated,-0.231888496700419,,,,,,hicp_yoy
rel::52:treated,0.289690663584765,,,,,,hicp_yoy
rel::53:treated,-0.0978232158433105,,,,,,hicp_yoy
rel::54:treated,-0.0181881019243564,,,,,,hicp_yoy
rel::55:treated,-0.0473279794051841,,,,,,hicp_yoy
rel::56:treated,-0.160537634455619,,,,,,hicp_yoy
rel::57:treated,-0.339284275502514,,,,,,hicp_yoy
rel::58:treated,-0.776817506460531,,,,,,hicp_yoy
rel::59:treated,-1.37692766114374,,,,,,hicp_yoy
rel::60:treated,-0.589271991209968,,,,,,hicp_yoy
rel::61:treated,-0.659007983018959,,,,,,hicp_yoy
rel::62:treated,-0.698512942829611,,,,,,hicp_yoy
rel::63:treated,-0.536857086090546,,,,,,hicp_yoy
rel::64:treated,-0.780669231986128,,,,,,hicp_yoy
rel::65:treated,-0.316799384596528,,,,,,hicp_yoy
rel::66:treated,-0.888929934785472,,,,,,hicp_yoy
rel::67:treated,-1.1214816001952,,,,,,hicp_yoy
rel::68:treated,-1.1350667320988,,,,,,hicp_yoy
rel::69:treated,-1.05459284829132,,,,,,hicp_yoy
rel::70:treated,-0.863376029465765,,,,,,hicp_yoy
rel::71:treated,-0.367215454018614,,,,,,hicp_yoy
rel::72:treated,-0.645038997138506,,,,,,hicp_yoy
rel::73:treated,-0.835695957908548,,,,,,hicp_yoy
rel::74:treated,-0.726660799314223,,,,,,hicp_yoy
rel::75:treated,-0.868538657104655,,,,,,hicp_yoy
rel::76:treated,-1.02829958742592,,,,,,hicp_yoy
rel::77:treated,-1.22860253721447,,,,,,hicp_yoy
rel::78:treated,-0.956298523486391,,,,,,hicp_yoy
rel::79:treated,-0.656756987027019,,,,,,hicp_yoy
rel::80:treated,-1.05621046027894,,,,,,hicp_yoy
rel::81:treated,-0.865202124884729,,,,,,hicp_yoy
rel::82:treated,-0.616385829181431,,,,,,hicp_yoy
rel::83:treated,-0.596914759080588,,,,,,hicp_yoy
rel::84:treated,-1.37070389594298,,,,,,hicp_yoy
rel::85:treated,-1.05037448376218,,,,,,hicp_yoy
rel::86:treated,-1.02861029862572,,,,,,hicp_yoy
rel::87:treated,-1.12586692129524,,,,,,hicp_yoy
rel::88:treated,-0.984085723434846,,,,,,hicp_yoy
rel::89:treated,-0.864073362815105,,,,,,hicp_yoy
rel::90:treated,-1.5925679573721,,,,,,hicp_yoy
rel::91:treated,-1.62569994648195,,,,,,hicp_yoy
