outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,1.13498403625136,0.857799608212948,0.185790738490278
hicp_yoy,bint0,0,0.760653278344504,0.617623998879516,0.218106067882936
hicp_yoy,binpost1_6,3,2.21962552304204,0.978756611882099,0.0233413197590317
hicp_yoy,binpost7_12,9,1.69356425464436,1.33286671713452,0.203864630320117
hicp_yoy,binpost13_18,15,-0.103690288389395,1.71662118249889,0.95183410376224
unemp_rate,binpre12_7,-10,-0.0628957351296752,0.200292936998554,0.753506807887331
unemp_rate,bint0,0,0.728572256654963,0.148441138286996,9.19367363705868e-07
unemp_rate,binpost1_6,3,0.672577222583063,0.252665591807313,0.00776948526755433
unemp_rate,binpost7_12,9,0.640323382932423,0.295567924455523,0.0302793343103411
unemp_rate,binpost13_18,15,0.765399234348616,0.346583235743697,0.0272154339143258
hicp,binpre12_7,-10,1.53982561294204,1.21352047294801,0.204479823213597
hicp,bint0,0,1.26257459477845,1.24340398726251,0.30990669112031
hicp,binpost1_6,3,2.04124556320271,1.33782402308681,0.127060859668757
hicp,binpost7_12,9,-0.0549952406695619,1.91801681386359,0.977125413440748
hicp,binpost13_18,15,-1.1766132536134,2.51902377848872,0.640434796321526
imports_world_meur,binpre12_7,-10,-92.5089488976406,276.379588995788,0.737838570831389
imports_world_meur,bint0,0,993.280935826707,352.608578550285,0.00484819867973448
imports_world_meur,binpost1_6,3,1456.5470257419,428.685237197246,0.00067953044182022
imports_world_meur,binpost7_12,9,1750.44983293639,525.917280512259,0.000873542528953121
imports_world_meur,binpost13_18,15,1913.16104772139,751.798099339317,0.0109346489225988
exports_world_meur,binpre12_7,-10,711.147731946041,322.886077624777,0.027631944044239
exports_world_meur,bint0,0,428.260587670051,382.313698425552,0.262636586880803
exports_world_meur,binpost1_6,3,571.426908011306,469.892212365761,0.223954135255398
exports_world_meur,binpost7_12,9,1135.68058951295,475.628738939336,0.016952056165645
exports_world_meur,binpost13_18,15,655.553844933152,578.338055380597,0.256998782912428
log_imp,binpre12_7,-10,-0.0541367444712454,0.0292609506544304,0.0642939195287758
log_imp,bint0,0,0.0754972827233087,0.0400420169695243,0.0593689006325801
log_imp,binpost1_6,3,0.0939356159437666,0.0402477434861059,0.0195991273503627
log_imp,binpost7_12,9,0.105144009035621,0.0444025573031267,0.0178858931426352
log_imp,binpost13_18,15,0.133854910175416,0.0583018593525497,0.0216819222039263
log_exp,binpre12_7,-10,-0.0225974618618626,0.0262843988760988,0.389938405134089
log_exp,bint0,0,0.0579910783375414,0.0267873459234901,0.0303977658559101
log_exp,binpost1_6,3,0.0641363621753837,0.0313608176625008,0.0408438877567761
log_exp,binpost7_12,9,0.0860551811737063,0.0377915542462272,0.0227802025708712
log_exp,binpost13_18,15,0.0550065224473295,0.04531576872977,0.224805206486513
