outcome,label,beta,se,p,sort_idx
hicp_yoy,Pre_Tail,-0.457343442357738,0.388030454364723,0.238546456194998,-999
hicp_yoy,-6,-1.2571009632959,,,-6
hicp_yoy,-5,-1.08717150436528,,,-5
hicp_yoy,-4,-0.665820383034731,,,-4
hicp_yoy,-3,-1.08057573050053,,,-3
hicp_yoy,-2,-0.76605256739639,,,-2
hicp_yoy,-1,0,0,1,-1
hicp_yoy,0,0.622029455152861,,,0
hicp_yoy,1,1.27381351945359,7.08656110987579e-08,0,1
hicp_yoy,2,1.29283919854441,,,2
hicp_yoy,3,2.38878019830022,,,3
hicp_yoy,4,2.89491600288814,,,4
hicp_yoy,5,3.34934690482092,7.08656110987578e-08,0,5
hicp_yoy,6,2.62993916291687,,,6
hicp_yoy,Post_Tail,0.442406910986062,0.827634849109895,0.592965493327418,999
unemp_rate,Pre_Tail,0.166666666666667,0.120048536994701,0.165037389051543,-999
unemp_rate,-6,0.199999999999999,,,-6
unemp_rate,-5,7.45092392128768e-17,2.36570523611652e-08,0.999999997487017,-5
unemp_rate,-4,1.64955113136688e-16,,,-4
unemp_rate,-3,-0.2,8.37812960333823e-09,0,-3
unemp_rate,-2,-0.2,2.00813336966915e-08,0,-2
unemp_rate,-1,0,0,1,-1
unemp_rate,0,0.199999999999999,8.37812960333827e-09,0,0
unemp_rate,1,-5.70322863284824e-17,2.26777923418572e-08,0.999999997993404,1
unemp_rate,2,0.3,8.37812960333824e-09,0,2
unemp_rate,3,0.299999999999999,2.26777923418571e-08,0,3
unemp_rate,4,0.299999999999999,,,4
unemp_rate,5,0.3,2.26777923418572e-08,0,5
unemp_rate,6,0.5,,,6
unemp_rate,Post_Tail,0.65,0.137858591750549,2.41738823843073e-06,999
hicp,Pre_Tail,-1.88166666666666,0.0875188747279581,1.55272244000363e-102,-999
hicp,-6,-1.59999999999999,2.08572163215628e-08,0,-6
hicp,-5,-2.14999999999999,1.69634927507095e-08,0,-5
hicp,-4,-1.73,1.55143905970774e-08,0,-4
