outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,0.513199463603366,0.575877924784177,0.372843254219932
hicp_yoy,bint0,0,1.37277186797229,0.586155425070056,0.0191810776916269
hicp_yoy,binpost1_6,3,2.93440876454323,0.935709807458109,0.00171254969167846
hicp_yoy,binpost7_12,9,2.06534887609267,1.38244501153974,0.135180151446609
hicp_yoy,binpost13_18,15,-0.420988698113259,1.82518049158477,0.817582115467966
unemp_rate,binpre12_7,-10,0.196666928135886,0.241828842951765,0.416075634594778
unemp_rate,bint0,0,0.473044637689585,0.182864881873319,0.00968567965953627
unemp_rate,binpost1_6,3,0.374192460427386,0.179819381973259,0.0374398484739804
unemp_rate,binpost7_12,9,0.485122673958041,0.323979949651594,0.134293143509122
unemp_rate,binpost13_18,15,0.897854788733171,0.48145806774762,0.0622001869892369
hicp,binpre12_7,-10,1.85299226380576,1.11990032163859,0.0980047225473063
hicp,bint0,0,0.954276291671981,1.21520318506399,0.432288679178485
hicp,binpost1_6,3,1.68123940724237,1.16490825250287,0.148953546968913
hicp,binpost7_12,9,-0.242247465738064,1.83130405745953,0.894761718218828
hicp,binpost13_18,15,-1.01680343415385,2.68005394247623,0.70439335266224
imports_world_meur,binpre12_7,-10,-683.706781262383,417.760088668733,0.101713765257811
imports_world_meur,bint0,0,1575.28827286461,439.105224902745,0.000333868751175039
imports_world_meur,binpost1_6,3,2136.1687493664,624.731951731386,0.000627740505044776
imports_world_meur,binpost7_12,9,2103.94567695634,887.413177733862,0.0177460338381716
imports_world_meur,binpost13_18,15,1611.47113727112,1310.0578519997,0.218668527808663
exports_world_meur,binpre12_7,-10,173.757499390458,295.045062832421,0.555915938809505
exports_world_meur,bint0,0,957.296793619623,483.363476690899,0.0476484351365861
exports_world_meur,binpost1_6,3,1189.19317188196,591.463010007851,0.0443681451578311
exports_world_meur,binpost7_12,9,1457.00317127119,704.461522403044,0.0386164370543105
exports_world_meur,binpost13_18,15,381.322103439694,1048.19312755652,0.716014883626003
log_imp,binpre12_7,-10,-0.0525965050214802,0.0213296223855856,0.0136673254751379
log_imp,bint0,0,0.0739809871425673,0.0329756696260604,0.0248644485616702
log_imp,binpost1_6,3,0.0921650069659617,0.0311738105532053,0.0031116401086452
log_imp,binpost7_12,9,0.104223051253841,0.0405677247326495,0.0101959332751121
log_imp,binpost13_18,15,0.134640898682534,0.0591870001288799,0.0229155872045774
log_exp,binpre12_7,-10,-0.017030095272567,0.0207999942752272,0.412926320776625
log_exp,bint0,0,0.0525102595226464,0.0214836314125439,0.0145174368490682
log_exp,binpost1_6,3,0.0577362993362964,0.0234305386047514,0.0137339642251346
log_exp,binpost7_12,9,0.0827262769664977,0.0340971388481772,0.0152581074692403
log_exp,binpost13_18,15,0.0578475652181564,0.0485213694263178,0.233179693985226
