outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,0.121054509617349,0.62384721707852,0.846140550725509
hicp_yoy,bint0,0,-0.68077333106255,0.602742341567281,0.258703858115909
hicp_yoy,binpost1_6,3,-1.69399738252521,0.998445003449598,0.0897655664237187
hicp_yoy,binpost7_12,9,-2.12356696324014,1.5036590226846,0.157871565476081
hicp_yoy,binpost13_18,15,0.174482888374936,2.36585921363654,0.941209053398125
unemp_rate,binpre12_7,-10,0.017453893561916,0.212839140357913,0.934642663236199
unemp_rate,bint0,0,-0.0825536387627557,0.0905257690527392,0.361802810228701
unemp_rate,binpost1_6,3,-0.196216735035037,0.177458103896324,0.268853194901449
unemp_rate,binpost7_12,9,-0.656605444828049,0.310759393178354,0.0346087981334644
unemp_rate,binpost13_18,15,-0.548307487893176,0.441857679023934,0.214637430058528
hicp,binpre12_7,-10,1.02466143278923,0.581039810883411,0.0778168566941098
hicp,bint0,0,-0.525422626874382,0.646271750149242,0.41621478103727
hicp,binpost1_6,3,-1.6451353804019,0.942630676828957,0.0809396646146706
hicp,binpost7_12,9,-2.79036061850212,1.56964757360152,0.0754533357870129
hicp,binpost13_18,15,-0.669170502000647,2.4791395224213,0.787221439661619
imports_world_meur,binpre12_7,-10,142.558215687265,299.172701061118,0.633712437289872
imports_world_meur,bint0,0,-277.301553690785,199.58036153443,0.164704146626144
imports_world_meur,binpost1_6,3,186.438535809161,330.594675641363,0.572788843101754
imports_world_meur,binpost7_12,9,-134.361337015449,563.063659351711,0.811396004204565
imports_world_meur,binpost13_18,15,828.556287572319,841.266861969046,0.324677540701217
exports_world_meur,binpre12_7,-10,-379.08331431494,488.816798300346,0.43803715151928
exports_world_meur,bint0,0,-644.704466979166,344.114132853641,0.0609967110996147
exports_world_meur,binpost1_6,3,-675.016035372496,578.191661766084,0.243024375093487
exports_world_meur,binpost7_12,9,-1221.75597749089,938.961392399062,0.193197508028404
exports_world_meur,binpost13_18,15,-678.09848672483,1406.31693491059,0.629677786661762
log_imp,binpre12_7,-10,0.0834323979241329,0.034015702873793,0.014176439520011
log_imp,bint0,0,-0.0193810883331719,0.0252837823383574,0.443353700636994
log_imp,binpost1_6,3,0.0170657375331718,0.0378453126023911,0.652037130383641
log_imp,binpost7_12,9,-0.021262377761131,0.0769413906413943,0.782283004540986
log_imp,binpost13_18,15,-0.000266420039217346,0.0995387599887666,0.997864428066047
log_exp,binpre12_7,-10,0.0547287961141137,0.0332713223105197,0.0999854877911886
log_exp,bint0,0,-0.042696888656464,0.0303309139521545,0.159219325224633
log_exp,binpost1_6,3,-0.00513598267782231,0.0372311230420715,0.890281011055805
log_exp,binpost7_12,9,-0.0583111350762934,0.0762275571934823,0.444294559746511
log_exp,binpost13_18,15,-0.0432066328993325,0.0959921641649426,0.652634131946364
