term,estimate,std.error,statistic,p.value,conf.low,conf.high
rel::-48:treated,1.47720006132585,,,,,
rel::-47:treated,1.06463930905462,,,,,
rel::-46:treated,0.920503222260312,,,,,
rel::-45:treated,1.0241305028733,,,,,
rel::-44:treated,1.30629588753066,,,,,
rel::-43:treated,1.14470210037748,,,,,
rel::-42:treated,0.517881017507774,,,,,
rel::-41:treated,0.532822030000403,,,,,
rel::-40:treated,0.0330118416541588,,,,,
rel::-39:treated,0.879988491906641,,,,,
rel::-38:treated,1.29390370363109,,,,,
rel::-37:treated,1.59599133019174,,,,,
rel::-36:treated,1.35894197316441,,,,,
rel::-35:treated,1.55056504260575,,,,,
rel::-34:treated,1.72520743258711,,,,,
rel::-33:treated,1.81985219263199,,,,,
rel::-32:treated,1.71368882961756,,,,,
rel::-31:treated,1.95844182094161,,,,,
rel::-30:treated,2.42331982989431,,,,,
rel::-29:treated,2.17143285185566,,,,,
rel::-28:treated,2.0313895096044,,,,,
rel::-27:treated,2.01998070756782,,,,,
rel::-26:treated,2.42654888881961,,,,,
rel::-25:treated,1.95817391509153,,,,,
rel::-24:treated,0.662934853360528,,,,,
rel::-23:treated,0.189744214844173,,,,,
rel::-22:treated,-0.248801633039023,,,,,
rel::-21:treated,-0.756172224387791,,,,,
rel::-20:treated,-1.10275551709751,,,,,
rel::-19:treated,-1.41207472094847,,,,,
rel::-18:treated,-1.63816672877918,,,,,
rel::-17:treated,-1.61890381202921,,,,,
rel::-16:treated,-1.37595957652698,,,,,
rel::-15:treated,-1.79320138666463,,,,,
rel::-14:treated,-3.13836265036783,,,,,
rel::-13:treated,-3.15836122774418,,,,,
rel::-12:treated,-4.92633059733701,,,,,
rel::-11:treated,-4.58311169252857,,,,,
rel::-10:treated,-3.72201287530031,,,,,
rel::-9:treated,-3.41193993977766,,,,,
rel::-8:treated,-3.01935442345271,,,,,
rel::-7:treated,-2.58152895953315,,,,,
rel::-6:treated,-2.56575409600788,,,,,
rel::-5:treated,-2.05828121850422,,,,,
rel::-4:treated,-1.97043665706487,,,,,
rel::-3:treated,-1.83436823539085,,,,,
rel::-2:treated,-0.466153709271992,,,,,
rel::0:treated,1.03494288441539,,,,,
rel::1:treated,0.825214965574062,,,,,
rel::2:treated,-0.197024642067792,,,,,
rel::3:treated,-0.0562225159927028,,,,,
rel::4:treated,-0.148715047767197,,,,,
rel::5:treated,-0.27414743608548,,,,,
rel::6:treated,0.491080495839752,,,,,
rel::7:treated,0.238555683704134,,,,,
rel::8:treated,0.135317241828629,,,,,
rel::9:treated,0.177821042360112,,,,,
rel::10:treated,-0.314579808425267,,,,,
rel::11:treated,-0.745930373842839,,,,,
rel::12:treated,-0.641272522591551,,,,,
rel::13:treated,-0.717408582611331,,,,,
rel::14:treated,-0.31101612061225,,,,,
rel::15:treated,-0.382687658992627,,,,,
