term,estimate,std.error,statistic,p.value,conf.low,conf.high
rel::-60:treated,6.10000000000319,,,,,
rel::-59:treated,6.00000000000328,,,,,
rel::-58:treated,6.40000000000321,,,,,
rel::-57:treated,6.50000000000327,,,,,
rel::-56:treated,5.90000000000317,,,,,
rel::-55:treated,6.0000000000032,,,,,
rel::-54:treated,5.80000000000329,,,,,
rel::-53:treated,5.40000000000334,,,,,
rel::-52:treated,5.40000000000303,,,,,
rel::-51:treated,4.90000000000314,,,,,
rel::-50:treated,5.10000000000308,,,,,
rel::-49:treated,5.50000000000304,,,,,
rel::-48:treated,4.70000000000306,,,,,
rel::-47:treated,4.60000000000312,,,,,
rel::-46:treated,4.90000000000316,,,,,
rel::-45:treated,4.30000000000308,,,,,
rel::-44:treated,4.20000000000326,,,,,
rel::-43:treated,4.20000000000302,,,,,
rel::-42:treated,4.00000000000311,,,,,
rel::-41:treated,3.9000000000032,,,,,
rel::-40:treated,4.00000000000308,,,,,
rel::-39:treated,3.80000000000312,,,,,
rel::-38:treated,3.60000000000325,,,,,
rel::-37:treated,3.20000000000311,,,,,
rel::-36:treated,2.80000000000309,,,,,
rel::-35:treated,3.00000000000306,,,,,
rel::-34:treated,2.10000000000305,,,,,
rel::-33:treated,2.40000000000318,,,,,
rel::-32:treated,2.40000000000307,,,,,
rel::-31:treated,1.70000000000321,,,,,
rel::-30:treated,1.80000000000314,,,,,
rel::-29:treated,2.10000000000322,,,,,
rel::-28:treated,1.3000000000031,,,,,
rel::-27:treated,1.60000000000316,,,,,
rel::-26:treated,1.60000000000322,,,,,
rel::-25:treated,1.20000000000314,,,,,
rel::-24:treated,1.30000000000313,,,,,
rel::-23:treated,1.30000000000331,,,,,
rel::-22:treated,1.20000000000314,,,,,
rel::-21:treated,1.50000000000323,,,,,
rel::-20:treated,1.6000000000031,,,,,
rel::-19:treated,1.60000000000321,,,,,
rel::-18:treated,2.10000000000312,,,,,
rel::-17:treated,2.30000000000325,,,,,
rel::-16:treated,1.80000000000331,,,,,
rel::-15:treated,1.6000000000032,,,,,
rel::-14:treated,1.60000000000357,,,,,
rel::-13:treated,1.20000000000301,,,,,
rel::-12:treated,1.50000000000309,,,,,
rel::-11:treated,1.500000000003,,,,,
rel::-10:treated,1.40000000000305,,,,,
rel::-9:treated,1.60000000000311,,,,,
rel::-8:treated,1.80000000000305,,,,,
rel::-7:treated,1.00000000000308,,,,,
rel::-6:treated,0.800000000003029,,,,,
rel::-5:treated,0.600000000003072,,,,,
rel::-4:treated,0.100000000003001,,,,,
rel::-3:treated,0.200000000003064,,,,,
rel::-2:treated,0.200000000003105,,,,,
rel::0:treated,0.300000000003172,,,,,
rel::1:treated,0.400000000003036,,,,,
rel::2:treated,0.600000000003056,,,,,
rel::3:treated,0.600000000003006,,,,,
rel::4:treated,0.70000000000328,,,,,
rel::5:treated,1.20000000000318,,,,,
rel::6:treated,1.00000000000307,,,,,
