date,country,exports_world_meur,df,hicp,imports_world_meur,fx_eur,mro,unemp_rate,repo,fx_vol,hicp_yoy,log_imp,log_exp,ln_imp,ln_exp,treated,post,D,rel
2004-01-01,CZ,3655.2,,79.6,3687.4,32.7242381,,8.3,6.93,0.00238395803,,8.21267688163629,8.20390609024906,8.21267688163629,8.20390609024906,0,0,0,-60
2004-02-01,CZ,4046.5,,79.7,3936,32.8574,,8.7,7,0.003778341871,,8.27792025817214,8.30560758893576,8.27792025817214,8.30560758893576,0,0,0,-59
2004-03-01,CZ,4020.3,,79.8,4077.4,32.98547826,,8.3,7,0.004165249467,,8.31321480936304,8.29911180569429,8.31321480936304,8.29911180569429,0,0,0,-58
2004-04-01,CZ,4787,,79.9,4812.9,32.51935,,8.3,7,0.00465368822,,8.47905509202514,8.47365918939251,8.47905509202514,8.47365918939251,0,0,0,-57
2004-05-01,CZ,4779.7,,80.3,4879.2,31.97609524,,8.6,7,0.00307223613,,8.49273655098225,8.47213306200964,8.49273655098225,8.47213306200964,0,0,0,-56
2004-06-01,CZ,4704.7,,80.5,4820.4,31.61359091,,8.2,7,0.004025206083,,8.48061219115324,8.45631728803123,8.48061219115324,8.45631728803123,0,0,0,-55
2004-07-01,CZ,4749.5,,80.7,4844.2,31.54472727,,8.1,7,0.003092022437,,8.48553739201223,8.46579462833024,8.48553739201223,8.46579462833024,0,0,0,-54
2004-08-01,CZ,4747.1,,80.7,4995.6,31.6335,,8.3,7,0.002412648397,,8.51631280398893,8.46528918426582,8.51631280398893,8.46528918426582,0,0,0,-53
2004-09-01,CZ,4754.5,,80.1,4914.9,31.60109091,,8.2,7,0.002174581343,,8.50002668649433,8.4668468169795,8.50002668649433,8.4668468169795,0,0,0,-52
2004-10-01,CZ,4860.2,,80.5,4941.7,31.49133333,,8.6,7,0.001682559767,,8.50546468053763,8.48883486831118,8.50546468053763,8.48883486831118,0,0,0,-51
2004-11-01,CZ,4960.9,,80.4,5001.8,31.28618182,,8.3,7,0.001391975768,,8.51755312663179,8.50934245487152,8.51755312663179,8.50934245487152,0,0,0,-50
2004-12-01,CZ,4971,,80.3,4808.8,30.636,,7.8,7,0.003259893824,,8.47820285172495,8.51137630609467,8.47820285172495,8.51137630609467,0,0,0,-49
2005-01-01,CZ,4840.1,,80.8,4621,30.30419048,,8.3,7,0.003282122057,1.50753768844221,8.43836641087027,8.48469066065426,8.43836641087027,8.48469066065426,0,0,0,-48
2005-02-01,CZ,4875,,80.8,4791.2,29.957,,8.2,7,0.002199604882,1.3801756587202,8.47453618095025,8.49187538343195,8.47453618095025,8.49187538343195,0,0,0,-47
2005-03-01,CZ,4896.8,,80.8,4673.1,29.77119048,,7.8,7,0.00544542572,1.2531328320802,8.44957794200067,8.49633720953686,8.44957794200067,8.49633720953686,0,0,0,-46
2005-04-01,CZ,4924.7,,81,5024.4,30.13380952,,8.1,7,0.003658269995,1.37672090112639,8.5220613228131,8.50201863804529,8.5220613228131,8.50201863804529,0,0,0,-45
2005-05-01,CZ,4877.7,,81,4750.3,30.21954545,,8.1,7,0.003620171489,0.871731008717314,8.46596305292905,8.49242907626962,8.46596305292905,8.49242907626962,0,0,0,-44
2005-06-01,CZ,5230.7,,81.5,5076.7,30.03409091,,7.8,7,0.002357718214,1.24223602484472,8.53241672318772,8.562300391315,8.53241672318772,8.562300391315,0,0,0,-43
2005-07-01,CZ,5187.4,,81.8,5052.1,30.17952381,,7.8,6.09,0.00233729014,1.36307311028501,8.52755927741542,8.55398788724471,8.52755927741542,8.55398788724471,0,0,0,-42
2005-08-01,CZ,5502.4,,81.8,5507.2,29.59408696,,7.8,5.61,0.003117912061,1.36307311028501,8.61381160601722,8.612939639678,8.61381160601722,8.612939639678,0,0,0,-41
2005-09-01,CZ,5440.9,,81.7,5460.9,29.31731818,,7.8,5,0.004074179162,1.99750312109863,8.60536889031996,8.60169976734258,8.60536889031996,8.60169976734258,0,0,0,-40
2005-10-01,CZ,5533.2,,82.4,5406.6,29.67471429,,7.9,4.5,0.002680717606,2.36024844720497,8.59537570846905,8.61852158900066,8.59537570846905,8.61852158900066,0,0,0,-39
2005-11-01,CZ,5702.6,,82.1,5569,29.26636364,,7.8,4.39,0.002294956569,2.11442786069651,8.62497078358967,8.64867749017313,8.62497078358967,8.64867749017313,0,0,0,-38
2005-12-01,CZ,5611.5,,81.9,5379.2,28.97233333,,7.9,3.75,0.002024947505,1.99252801992529,8.5902949432143,8.63257334245631,8.5902949432143,8.63257334245631,0,0,0,-37
2006-01-01,CZ,5894.4,,82.8,5666.5,28.722,,7.9,3.02,0.002114953115,2.47524752475248,8.642326922173,8.68175802662093,8.642326922173,8.68175802662093,0,0,0,-36
2006-02-01,CZ,5879.3,,82.8,5827.5,28.40685,,7.3,2.51,0.003219767495,2.47524752475248,8.67034337090991,8.67919298618689,8.67034337090991,8.67919298618689,0,0,0,-35
2006-03-01,CZ,5833.7,,82.7,5766.4,28.64952174,,7.9,1.5,0.003205045742,2.35148514851486,8.65980324797396,8.67140672641093,8.65980324797396,8.67140672641093,0,0,0,-34
2006-04-01,CZ,5992.5,,82.9,5991.3,28.50083333,,7.3,0.75,0.002398997296,2.34567901234568,8.69806369594288,8.69826396630854,8.69806369594288,8.69826396630854,0,0,0,-33
2006-05-01,CZ,6297.3,,83.3,6238.1,28.27081818,,7,0.7,0.002764281597,2.8395061728395,8.73843092781835,8.74787624908807,8.73843092781835,8.74787624908807,0,0,0,-32
2006-06-01,CZ,6104.5,,83.4,6006.4,28.38559091,,7.4,0.5,0.002066636525,2.33128834355829,8.70058084639219,8.71678148310891,8.70058084639219,8.71678148310891,0,0,0,-31
2006-07-01,CZ,6359.5,,83.7,6219.4,28.44795238,,7.2,0.31,0.001663435767,2.32273838630808,8.73542871805786,8.75770503689154,8.73542871805786,8.75770503689154,0,0,0,-30
2006-08-01,CZ,6354.7,,83.9,6235.3,28.19378261,,6.7,0.25,0.002258614814,2.5672371638142,8.73798197243377,8.75694997558559,8.73798197243377,8.75694997558559,0,0,0,-29
2006-09-01,CZ,6476.1,,83.5,6410.2,28.38314286,,7.2,0.25,0.001995322496,2.203182374541,8.76564575067602,8.77587375630894,8.76564575067602,8.77587375630894,0,0,0,-28
2006-10-01,CZ,6683.8,,83.1,6506.6,28.28986364,,6.7,0.25,0.00205419027,0.849514563106779,8.78057232534484,8.80744196706533,8.78057232534484,8.80744196706533,0,0,0,-27
2006-11-01,CZ,6863.5,,82.9,6683.6,28.02922727,,6.5,0.25,0.002529865691,0.974421437271644,8.80741204351999,8.83397279469171,8.80741204351999,8.83397279469171,0,0,0,-26
2006-12-01,CZ,7071.7,,83.1,6808.8,27.77763158,,6.6,0.25,0.00318190956,1.46520146520146,8.82597117216275,8.86385618260321,8.82597117216275,8.86385618260321,0,0,0,-25
2007-01-01,CZ,7019.2,,83.9,6826.2,27.84022727,,6.1,0.25,0.002799295837,1.32850241545894,8.82852342877373,8.85640453041195,8.82852342877373,8.85640453041195,0,0,0,-24
2007-02-01,CZ,7180.3,,84.1,6834.8,28.23305,,5.8,0.25,0.002586877956,1.57004830917875,8.82978248757412,8.8790964438992,8.82978248757412,8.8790964438992,0,0,0,-23
2007-03-01,CZ,7132.3,,84.4,6890.4,28.05677273,,5.7,0.25,0.002505880748,2.05562273276905,8.83788441747496,8.87238904203555,8.83788441747496,8.87238904203555,0,0,0,-22
2007-04-01,CZ,7205.7,,85,6939.6,28.01478947,,5.5,0.25,0.001443844366,2.5331724969843,8.84499941495217,8.88262765846805,8.84499941495217,8.88262765846805,0,0,0,-21
2007-05-01,CZ,7138.1,,85.3,7032.2,28.23118182,,5.4,0.25,0.001639396677,2.40096038415367,8.85825488037126,8.87320191347845,8.85825488037126,8.87320191347845,0,0,0,-20
