outcome,h,beta,se
hicp_yoy,0,0.348348654442617,0.311102281450098
hicp_yoy,1,0.371797132040867,0.307542507301538
hicp_yoy,2,0.395022544279557,0.302053476142253
hicp_yoy,3,0.401565223793316,0.298611280028843
hicp_yoy,4,0.363706850617908,0.291314390713272
hicp_yoy,5,0.369853979530307,0.290496923404782
hicp_yoy,6,0.350979703932623,0.288491176591312
hicp_yoy,7,0.430709998806379,0.281493847242333
hicp_yoy,8,0.458423982292916,0.273827678512346
hicp_yoy,9,0.494605925324423,0.273089139922316
hicp_yoy,10,0.496143431264555,0.265242460762096
hicp_yoy,11,0.460855057362293,0.265456082057116
hicp_yoy,12,0.434336929288271,0.262746590253951
hicp_yoy,13,0.421843609242784,0.270762886919407
hicp_yoy,14,0.368490469284781,0.273411261148906
hicp_yoy,15,0.329399151144452,0.269681187065163
hicp_yoy,16,0.294658705077453,0.263585446788565
hicp_yoy,17,0.203054457270944,0.257998863397559
hicp_yoy,18,0.140774397905001,0.249837621226666
unemp_rate,0,1.7305116206634,0.304759576822719
unemp_rate,1,1.64926303957393,0.304484937002762
unemp_rate,2,1.56058803942508,0.302129556639799
unemp_rate,3,1.4794827517877,0.294525829093106
unemp_rate,4,1.4151633533408,0.287308657609262
unemp_rate,5,1.35836728072598,0.282680560508548
unemp_rate,6,1.29714514997558,0.273350977997428
unemp_rate,7,1.26016375181051,0.265035712836896
unemp_rate,8,1.23077319401149,0.259128162914684
unemp_rate,9,1.18423134138625,0.253727897663008
unemp_rate,10,1.17764562020695,0.247488735866051
unemp_rate,11,1.16426532099526,0.234011050317725
unemp_rate,12,1.14215832985808,0.222938090410845
unemp_rate,13,1.13649780601362,0.212803075025588
unemp_rate,14,1.15117783596201,0.199249332950642
unemp_rate,15,1.16922453424864,0.188179773115971
unemp_rate,16,1.16852947987179,0.179038609831496
unemp_rate,17,1.18816176887815,0.168346046805371
unemp_rate,18,1.20560116731959,0.160993666567121
hicp,0,2.05295640533813,0.269702518777679
hicp,1,2.07894569817828,0.276119661140537
hicp,2,2.09375325645915,0.273686874649954
hicp,3,2.09298780527247,0.2736229703234
hicp,4,2.07846823060465,0.271243027695686
hicp,5,2.12801635619902,0.279001397903004
hicp,6,2.14930439592254,0.279640763355157
hicp,7,2.23840452147449,0.291186198125917
hicp,8,2.27884143646093,0.289500881488244
hicp,9,2.32439242880797,0.29239240368194
