outcome,coef,se,t,p_naive,p_wcb,n,spec
hicp_yoy__none,0.393705165507055,0.305731576104667,1.28774780323073,0.199150819526019,,456,twfe
hicp_yoy__only_fxvol,0.348348654442617,0.311102281450098,1.1197238825087,0.264025301067714,,456,twfe
hicp_yoy__drop_fx_vol,0.393705165507055,0.305731576104667,1.28774780323073,0.199150819526019,,456,twfe
unemp_rate__none,1.77888888888889,0.264490406549051,6.72572178363295,1.28703958422071e-10,,480,twfe
unemp_rate__only_fxvol,1.7305116206634,0.304759576822719,5.67828462916542,3.96349312859213e-08,,480,twfe
unemp_rate__drop_fx_vol,1.77888888888889,0.264490406549051,6.72572178363295,1.28703958422071e-10,,480,twfe
hicp__none,2.19261111111111,0.265177254350855,8.26847354038169,9.60627845695549e-15,,480,twfe
hicp__only_fxvol,2.05295640533813,0.269702518777679,7.61192893059492,6.37269359905406e-13,,480,twfe
hicp__drop_fx_vol,2.19261111111111,0.265177254350855,8.26847354038169,9.60627845695549e-15,,480,twfe
imports_world_meur__none,2526.59444444445,158.093800527267,15.981616205176,1.49694573809901e-39,,480,twfe
imports_world_meur__only_fxvol,2746.20874467949,186.895486477216,14.6938205755668,3.49509872192457e-35,,480,twfe
imports_world_meur__drop_fx_vol,2526.59444444445,158.093800527267,15.981616205176,1.49694573809901e-39,,480,twfe
exports_world_meur__none,3245.185,178.015862237526,18.2297518839639,4.60663665533124e-47,,480,twfe
exports_world_meur__only_fxvol,3597.44032435816,216.523015679712,16.6145862741891,1.26316123294976e-41,,480,twfe
exports_world_meur__drop_fx_vol,3245.185,178.015862237526,18.2297518839639,4.60663665533124e-47,,480,twfe
log_imp__none,-0.0730944920209397,0.0115472881746711,-6.33001367206474,1.20836282454202e-09,,480,twfe
log_imp__only_fxvol,-0.0665685291422028,0.012257012033791,-5.43105684800518,1.386054488149e-07,,480,twfe
log_imp__drop_fx_vol,-0.0730944920209397,0.0115472881746711,-6.33001367206474,1.20836282454202e-09,,480,twfe
log_exp__none,-0.0747558114785386,0.011824547401006,-6.32208649881844,1.26265014323152e-09,,480,twfe
log_exp__only_fxvol,-0.0626795796264412,0.0121549052233588,-5.15673125167492,5.30293696767279e-07,,480,twfe
log_exp__drop_fx_vol,-0.0747558114785386,0.011824547401006,-6.32208649881844,1.26265014323152e-09,,480,twfe
