outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,2.22488076194822,0.793836847428638,0.00506779264546523
hicp_yoy,bint0,0,-2.51744187045536,0.514519698160453,9.94115229389347e-07
hicp_yoy,binpost1_6,3,-1.58919662262344,0.493423252720583,0.00127852297263432
hicp_yoy,binpost7_12,9,-1.29081752987887,0.563171941748821,0.0219028318114133
hicp_yoy,binpost13_18,15,-0.945023755685046,0.520349545602121,0.0693500391544718
unemp_rate,binpre12_7,-10,-1.15,0.178174903665742,1.08697212259992e-10
unemp_rate,bint0,0,0.0166666666666672,0.147244233155431,0.909879428669215
unemp_rate,binpost1_6,3,-0.433333333333333,0.195043521575678,0.0263018039614697
unemp_rate,binpost7_12,9,-1.55,0.382708024607227,5.11990494227278e-05
unemp_rate,binpost13_18,15,-2.61666666666667,0.158268017717095,2.11829949653179e-61
hicp,binpre12_7,-10,0.696666666666666,0.450410423261628,0.121926570190692
hicp,bint0,0,-0.00499999999999815,0.404545114913036,0.990138748215198
hicp,binpost1_6,3,0.358333333333334,0.392447063348506,0.361203458214548
hicp,binpost7_12,9,-0.186666666666663,0.428858209898718,0.663370597924543
hicp,binpost13_18,15,0.63833333333333,0.41017485356105,0.119649399186427
imports_world_meur,binpre12_7,-10,250.733333333334,63.9740534306345,8.88075229884817e-05
imports_world_meur,bint0,0,-1020.56666666667,61.889190638602,4.3134163293164e-61
imports_world_meur,binpost1_6,3,-833.666666666667,58.1589768184405,1.33638132226576e-46
imports_world_meur,binpost7_12,9,-562.966666666667,72.9942207842596,1.23393386657572e-14
imports_world_meur,binpost13_18,15,-83.0666666666666,117.637281298211,0.480110187085856
exports_world_meur,binpre12_7,-10,424.65,137.164290751665,0.00196201701906422
exports_world_meur,bint0,0,-933.666666666666,140.83123871333,3.36405340266902e-11
exports_world_meur,binpost1_6,3,-690.3,152.897737223767,6.33818367365938e-06
exports_world_meur,binpost7_12,9,-431.516666666667,146.454654900332,0.00321477393027354
exports_world_meur,binpost13_18,15,-19.5166666666669,175.945341892424,0.911676138020152
log_imp,binpre12_7,-10,0.00508478944953088,0.013244099872292,0.701031327371626
log_imp,bint0,0,-0.0869516384882939,0.0145714172737751,2.41250194460409e-09
log_imp,binpost1_6,3,-0.00697543447210099,0.0176166433192485,0.692136698537032
log_imp,binpost7_12,9,-0.00645929327638229,0.0200202152440242,0.746968992812572
log_imp,binpost13_18,15,-0.000236568272756978,0.0155881764612581,0.987891660859797
log_exp,binpre12_7,-10,0.0267423934316288,0.0100907522242705,0.0080446921748328
log_exp,bint0,0,-0.0190420988154605,0.0093586638650945,0.0418807944237636
log_exp,binpost1_6,3,0.0100344663846981,0.0193332858872575,0.603743030777451
log_exp,binpost7_12,9,-0.0113996944810672,0.013354160063184,0.393302442715748
log_exp,binpost13_18,15,-0.00731483790555475,0.00993264942778072,0.461460668676201
