outcome,bin,tau,beta,se,p
hicp_yoy,binpre6_1,-4,-1.16035878059964,0.722082589699898,0.108062856739793
hicp_yoy,bint0,0,-1.96887310127331,0.882483836554185,0.0256772514833888
hicp_yoy,binpost1_6,3,-0.280769080134921,1.14639596211539,0.806522575904405
hicp_yoy,binpost7_12,9,0.260257296864066,1.65808841779836,0.875274595540826
hicp_yoy,binpost13_18,15,0.730222772846664,2.16109644887193,0.735442633556086
unemp_rate,binpre6_1,-4,1.35105811251352,0.514256256985974,0.00860887127256153
unemp_rate,bint0,0,1.0061565873321,0.621867244054261,0.105671127793099
unemp_rate,binpost1_6,3,0.676488405415015,0.755092016361772,0.370305135777533
unemp_rate,binpost7_12,9,0.189936388082461,1.17063241957269,0.87110812740142
unemp_rate,binpost13_18,15,-0.214297895584433,1.47130021433595,0.88419607441047
hicp,binpre6_1,-4,0.22065429113066,0.323705036434068,0.495458819329201
hicp,bint0,0,1.54969566480352,0.394860059014745,8.68484938666739e-05
hicp,binpost1_6,3,2.32863224548289,0.473289565866934,8.64997707267159e-07
hicp,binpost7_12,9,1.8650841523184,0.665729506885764,0.00508554741029306
hicp,binpost13_18,15,2.75296486739524,0.972955004356568,0.00466224947685492
imports_world_meur,binpre6_1,-4,-358.264631196245,125.737019151558,0.00438131970413965
imports_world_meur,bint0,0,-1235.3116270496,209.528749158787,3.73172004825331e-09
imports_world_meur,binpost1_6,3,-964.390449512963,213.538325826259,6.29471515037428e-06
imports_world_meur,binpost7_12,9,-830.716849670992,297.108875957672,0.00517391673913058
imports_world_meur,binpost13_18,15,-547.506739030905,368.568718561407,0.13741292614607
exports_world_meur,binpre6_1,-4,-323.659940173817,178.223724405382,0.0693655035621133
exports_world_meur,bint0,0,-805.656620338651,235.041139567622,0.000608659490356581
exports_world_meur,binpost1_6,3,-524.430610017838,287.244751328328,0.0678913353453495
exports_world_meur,binpost7_12,9,-536.032684487917,366.260614905022,0.14332294333672
exports_world_meur,binpost13_18,15,-415.193817708746,460.213123273903,0.366962708933278
log_imp,binpre6_1,-4,-0.0128886708416919,0.0165809978397323,0.436972502493275
log_imp,bint0,0,-0.150022310163689,0.0326945281316518,4.46215568316913e-06
log_imp,binpost1_6,3,-0.0784621032105053,0.032923553990307,0.0171647232541068
log_imp,binpost7_12,9,-0.0492225093812886,0.0360196097259096,0.171767167288588
log_imp,binpost13_18,15,-0.009913332341411,0.0452188193559934,0.8264707050812
log_exp,binpre6_1,-4,-0.0298720988171943,0.0228376054886106,0.190865722513983
log_exp,bint0,0,-0.0707136838751572,0.0325048494517811,0.0295940869856583
log_exp,binpost1_6,3,-0.0638128484472002,0.0403130998397026,0.113437231671588
log_exp,binpost7_12,9,-0.0919589138078561,0.0450692745758522,0.0413114603333009
log_exp,binpost13_18,15,-0.0869114099899255,0.0588419136409195,0.13966696581315
