outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,-0.514441451180351,0.416530692398817,0.216807232871482
hicp_yoy,bint0,0,0.74268094878219,1.04635239986289,0.477840014754964
hicp_yoy,binpost1_6,3,0.938607337891616,0.781043593677547,0.229466258391793
hicp_yoy,binpost7_12,9,0.416592765388956,1.12736151155265,0.711733465855549
hicp_yoy,binpost13_18,15,-0.611027854083233,1.66952939045753,0.714373971135332
unemp_rate,binpre12_7,-10,-0.112070260226473,0.130406114418393,0.390123060728247
unemp_rate,bint0,0,0.876054025679202,0.288822226286546,0.0024197947817769
unemp_rate,binpost1_6,3,0.33607610265426,0.154489970164272,0.0296008225663547
unemp_rate,binpost7_12,9,0.875781125229888,0.224663352652611,9.69131347433549e-05
unemp_rate,binpost13_18,15,1.00826288048954,0.299985467347374,0.000776498367653945
hicp,binpre12_7,-10,0.320762424326175,0.340158739923662,0.345691831036785
hicp,bint0,0,0.955308583384312,1.07579222966981,0.374538209530802
hicp,binpost1_6,3,0.329593532353567,0.643712558017879,0.608637198846712
hicp,binpost7_12,9,-0.420871859481505,0.858031209120641,0.623773903654928
hicp,binpost13_18,15,-1.15169112133801,1.16664631338612,0.323553894707461
imports_world_meur,binpre12_7,-10,172.5432077062,249.561660900388,0.489323580688845
imports_world_meur,bint0,0,513.169905378338,754.284284641024,0.496289089179953
imports_world_meur,binpost1_6,3,-601.208539308483,361.387850542612,0.0961903383755964
imports_world_meur,binpost7_12,9,55.6683455594967,499.96903921435,0.911343893875843
imports_world_meur,binpost13_18,15,465.554387333255,722.015426334558,0.519057842835013
exports_world_meur,binpre12_7,-10,-84.224665765332,275.784630068063,0.76006141204679
exports_world_meur,bint0,0,741.868818413099,749.172477980196,0.322051435358001
exports_world_meur,binpost1_6,3,-851.500827391503,399.88994914249,0.0332263136900362
exports_world_meur,binpost7_12,9,546.394480474344,501.35828851286,0.275788759582768
exports_world_meur,binpost13_18,15,425.520838363227,852.466126346736,0.617663492652123
log_imp,binpre12_7,-10,0.00552022240262823,0.0271758358188522,0.83903357135673
log_imp,bint0,0,-0.0715036142549432,0.101725493476471,0.48211338494278
log_imp,binpost1_6,3,0.144882259483052,0.0348352482389644,3.19545021778237e-05
log_imp,binpost7_12,9,0.148163567539254,0.0539787827766438,0.0060538883914024
log_imp,binpost13_18,15,0.249720564169241,0.0911369153818109,0.00614280763631087
log_exp,binpre12_7,-10,0.0135855741148,0.0172086317903982,0.429841581497224
log_exp,bint0,0,-0.0917384938808554,0.0778063305684168,0.238373457143858
log_exp,binpost1_6,3,0.135790656554395,0.0227738722880927,2.48311311318347e-09
log_exp,binpost7_12,9,0.189418216026738,0.0359806251117699,1.40609358218597e-07
log_exp,binpost13_18,15,0.306556947637837,0.0417744766443483,2.16196025011516e-13
