outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,1.16035878059964,0.722082589699676,0.108062856739685
hicp_yoy,bint0,0,-0.808514320673665,0.277027461591521,0.00351680482231996
hicp_yoy,binpost1_6,3,0.879589700464717,0.621604013293048,0.157059052409924
hicp_yoy,binpost7_12,9,1.4206160774637,1.11507867606067,0.202661558756843
hicp_yoy,binpost13_18,15,1.8905815534463,1.60351261715714,0.238388198740081
unemp_rate,binpre12_7,-10,-1.35105811251352,0.514256256985929,0.00860887127255563
unemp_rate,bint0,0,-0.344901525181416,0.130604191327926,0.00827068346890852
unemp_rate,binpost1_6,3,-0.674569707098499,0.2618367208484,0.00998642207483663
unemp_rate,binpost7_12,9,-1.16112172443105,0.709744225490914,0.101845434538177
unemp_rate,binpost13_18,15,-1.56535600809794,0.996826473108598,0.116336144026016
hicp,binpre12_7,-10,-0.220654291130661,0.323705036434054,0.495458819329179
hicp,bint0,0,1.32904137367286,0.160529315595094,1.24089451944574e-16
hicp,binpost1_6,3,2.10797795435223,0.240935335527449,2.14977122440885e-18
hicp,binpost7_12,9,1.64442986118774,0.437830580197943,0.00017274803704959
hicp,binpost13_18,15,2.53231057626458,0.739164366554209,0.000612743436135969
imports_world_meur,binpre12_7,-10,358.264631196245,125.737019151602,0.0043813197041533
imports_world_meur,bint0,0,-877.046995853351,119.385175873909,2.03670771319394e-13
imports_world_meur,binpost1_6,3,-606.125818316721,131.726150360665,4.19643645050235e-06
imports_world_meur,binpost7_12,9,-472.452218474748,205.743232552525,0.0216576139563574
imports_world_meur,binpost13_18,15,-189.242107834662,267.84873039164,0.479861053170889
exports_world_meur,binpre12_7,-10,323.659940173817,178.223724405443,0.0693655035622095
exports_world_meur,bint0,0,-481.996680164832,89.7917913667436,7.96423564253109e-08
exports_world_meur,binpost1_6,3,-200.770669844022,140.220997989147,0.152196484172413
exports_world_meur,binpost7_12,9,-212.372744314101,217.40477451626,0.328641390596646
exports_world_meur,binpost13_18,15,-91.5338775349304,313.152677575976,0.77005884598874
log_imp,binpre12_7,-10,0.012888670841692,0.0165809978397401,0.436972502493487
log_imp,bint0,0,-0.137133639321997,0.018907366733647,4.07877677168631e-13
log_imp,binpost1_6,3,-0.0655734323688136,0.0212715925355618,0.00205148230963837
log_imp,binpost7_12,9,-0.0363338385395969,0.0246795053289138,0.140959539974139
log_imp,binpost13_18,15,0.00297533850028068,0.0340071761939587,0.93028084985454
log_exp,binpre12_7,-10,0.0298720988171943,0.0228376054886066,0.190865722513907
log_exp,bint0,0,-0.0408415850579627,0.0132016408686908,0.00197693984552656
log_exp,binpost1_6,3,-0.0339407496300059,0.0202226159368616,0.0932776137390424
log_exp,binpost7_12,9,-0.0620868149906618,0.0255814992950691,0.0152234091068801
log_exp,binpost13_18,15,-0.0570393111727311,0.0410719091815399,0.164903619901687
