outcome,bin,tau,beta,se,p
hicp_yoy,binpre12_7,-10,-0.184686499282087,0.322548536226587,0.56692562250401
hicp_yoy,bint0,0,-0.95589707884788,0.331347674235992,0.00391567386019467
hicp_yoy,binpost1_6,3,0.606163134034838,0.496636333397742,0.222261285583731
hicp_yoy,binpost7_12,9,0.932237362180802,0.739949764401511,0.207717797317107
hicp_yoy,binpost13_18,15,0.417932189592408,1.03116146966722,0.685255263135903
unemp_rate,binpre12_7,-10,-0.956067837382067,0.484797566876507,0.0485985319925107
unemp_rate,bint0,0,-0.301620635629516,0.132169853720241,0.0224853071914494
unemp_rate,binpost1_6,3,-0.594274391901465,0.222395937406209,0.00753678718224025
unemp_rate,binpost7_12,9,-1.01770287749461,0.692027566634408,0.141396532873958
unemp_rate,binpost13_18,15,-1.13289311179162,1.05430711007094,0.282581598109123
hicp,binpre12_7,-10,-0.676193813033077,0.183604269489483,0.0002306072223449
hicp,bint0,0,1.27912582644217,0.185076199511352,4.80073311387682e-12
hicp,binpost1_6,3,2.01537392888936,0.228020693238086,9.69626355739943e-19
hicp,binpost7_12,9,1.47902590803098,0.402649967824982,0.000239503803128498
hicp,binpost13_18,15,2.03355414242997,0.616558099027717,0.000972943091966465
imports_world_meur,binpre12_7,-10,245.358921724094,114.986484824998,0.0328586143572686
imports_world_meur,bint0,0,-889.418590419361,133.769411848188,2.953043051404e-11
imports_world_meur,binpost1_6,3,-629.077774606262,151.256772404557,3.19635961018745e-05
imports_world_meur,binpost7_12,9,-513.447675032882,227.703105514234,0.0241396222069736
imports_world_meur,binpost13_18,15,-312.859151600099,320.880791803768,0.329559673164968
exports_world_meur,binpre12_7,-10,172.027451983277,148.690725351081,0.247293565810165
exports_world_meur,bint0,0,-498.611744856414,109.779745403746,5.57419709914417e-06
exports_world_meur,binpost1_6,3,-231.595171610092,148.966538576814,0.120022502633658
exports_world_meur,binpost7_12,9,-267.429686177171,212.347173753028,0.207886475064001
exports_world_meur,binpost13_18,15,-257.551699100772,307.711844871079,0.402598258362307
log_imp,binpre12_7,-10,0.0164012213525189,0.0211782878954203,0.438673202872143
log_imp,bint0,0,-0.136748753110169,0.0190284891606963,6.64601014917996e-13
log_imp,binpost1_6,3,-0.0648593860538291,0.0221843774474536,0.00345951947110209
log_imp,binpost7_12,9,-0.0350584503192131,0.0259818481936276,0.177226507016981
log_imp,binpost13_18,15,0.0068211237334207,0.0366863299729186,0.85249892041471
log_exp,binpre12_7,-10,0.0172893344579258,0.0246317864295351,0.482734349143054
log_exp,bint0,0,-0.0422203360520469,0.0144595119496113,0.0035014316932118
log_exp,binpost1_6,3,-0.0364986278712898,0.0201043540039074,0.0694534206626146
log_exp,binpost7_12,9,-0.06665554913248,0.0220318073734842,0.00248285154393367
log_exp,binpost13_18,15,-0.0708157990028134,0.0339496450423655,0.0369870567354959
